phon,englishPOS,language
_{,Verb,English
_{b,Verb,English
_{b,Noun,English
_{,Noun,English
_{g,Verb,English
_{g,Noun,English
_{,Noun,English
_{k,Noun,English
_{,Noun,English
_{m,Verb,English
_{m,Noun,English
_{,Noun,English
_#,Verb,English
_#,Noun,English
_#,Noun,English
_,Noun,English
_$,Noun,English
_$,Verb,English
_$n,Noun,English
_$nt,Noun,English
_$,Noun,English
_1,Noun,English
_1k,Noun,English
_1,Noun,English
_1l,Verb,English
_1l,Noun,English
_1,Noun,English
_1,Noun,English
_1,Noun,English
_2,Noun,English
_2b,Noun,English
_2,Noun,English
_3,Noun,English
_3k,Noun,English
_3k,Verb,English
_3,Noun,English
_3m,Noun,English
_,Noun,English
_4,Verb,English
_4n,Verb,English
_4nt,Noun,English
_4n,Verb,English
_4,Noun,English
_4s,Noun,English
_4st,Noun,English
_4,Noun,English
_5,Noun,English
_5k,Noun,English
_5k,Verb,English
_5l,Noun,English
_5lt,Noun,English
_5n,Noun,English
_5,Noun,English
_6,Noun,English
_6l,Noun,English
_6s,Noun,English
_7,Verb,English
_7,Verb,English
_7,Noun,English
_E,Noun,English
_E,Noun,English
_El,Verb,English
_El,Noun,English
_E,Noun,English
_Em,Noun,English
_E,Noun,English
_En,Noun,English
_Ent,Noun,English
_Es,Noun,English
_Est,Noun,English
_E,Noun,English
_Et,Noun,English
_I,Noun,English
_Ib,Verb,English
_Ib,Noun,English
_I,Noun,English
_Ig,Verb,English
_Ig,Noun,English
_I,Noun,English
_I,Noun,English
_Im,Noun,English
_i,Noun,English
_I,Noun,English
_INk,Noun,English
_INks,Verb,English
_in,Noun,English
_In,Noun,English
_i,Noun,English
_I,Noun,English
_ip,Noun,English
_Is,Noun,English
_i,Noun,English
_Q,Noun,English
_Qb,Noun,English
_Qg,Verb,English
_Qg,Noun,English
_Q,Noun,English
_Qn,Noun,English
_Q,Noun,English
_Q,Verb,English
_Q,Verb,English
_Qt,Verb,English
_,Noun,English
_u,Noun,English
_ul,Noun,English
_u,Noun,English
_un,Noun,English
_u,Noun,English
_u,Noun,English
_u,Noun,English
_V,Noun,English
_V_,Verb,English
_V,Noun,English
_Vg,Verb,English
_Vg,Noun,English
_Vm,Verb,English
_Vmp,Verb,English
_Vmp,Verb,English
_VN,Noun,English
_VNk,Noun,English
_VNk,Verb,English
{,Verb,English
{d,Verb,English
{k,Noun,English
{k,Noun,English
{kt,Noun,English
{,Noun,English
{lb,Noun,English
{l,Noun,English
