,Matthews,Accuracy,F1
0,0.5745407621558638,0.7,0.5714285714285715
1,0.5055643454891797,0.6882352941176471,0.5454545454545455
2,0.4880568974343076,0.7147058823529412,0.588235294117647
0,0.6160999058200227,0.7549019607843137,0.6666666666666667
1,0.5931195913752998,0.7274509803921569,0.6222222222222223
2,0.6172999016162641,0.776470588235294,0.6923076923076923
0,0.5316551033151641,0.7686274509803921,0.6557377049180327
1,0.44918226354382357,0.6441176470588236,0.45000000000000007
2,0.6421955120361669,0.7715686274509803,0.6938775510204083
0,0.4662584363271782,0.7088235294117646,0.576923076923077
1,0.6519202405202649,0.75,0.6666666666666666
2,0.42209641528989444,0.6705882352941177,0.5106382978723405
0,0.5050313796141084,0.6990196078431372,0.5652173913043479
1,0.44781107551989907,0.6764705882352942,0.5217391304347827
2,0.566126741042571,0.7107843137254902,0.5909090909090909
0,0.5050313796141084,0.6990196078431372,0.5652173913043479
1,0.49047531817192297,0.65,0.4615384615384615
2,0.455056318188542,0.7137254901960784,0.5818181818181818
0,0.5030668471717368,0.7362745098039216,0.6181818181818183
1,0.5510773761549316,0.7588235294117647,0.6545454545454547
2,0.5622516837083178,0.7215686274509804,0.608695652173913
0,0.6519202405202649,0.75,0.6666666666666666
1,0.5383854845715459,0.6941176470588235,0.5581395348837209
2,0.4880568974343076,0.7147058823529412,0.588235294117647
0,0.6766922918967364,0.7666666666666666,0.6956521739130436
1,0.5615987603051745,0.7323529411764707,0.625
2,0.5050313796141084,0.6990196078431372,0.5652173913043479
0,0.49047531817192297,0.65,0.4615384615384615
1,0.6955186050933215,0.7941176470588236,0.7346938775510204
2,0.5166055914235402,0.7313725490196079,0.6153846153846153
