,Matthews,Accuracy,F1
0,0.44384057023467427,0.7203257937331397,0.6580645161290323
1,0.4564438142534495,0.7211528402552568,0.653061224489796
2,0.24934409937674257,0.6231300345224395,0.5359477124183006
0,0.3030602700207964,0.649201079062046,0.5657894736842106
1,0.3859187474096027,0.6900303379014541,0.618421052631579
2,0.344680619935086,0.6644523485720264,0.5734265734265733
0,0.47250425965690235,0.7326208757003527,0.6710526315789473
1,0.3624077942951173,0.677372110053353,0.6000000000000001
2,0.3465095222286011,0.6666492310911183,0.5793103448275861
0,0.4160614235318531,0.7080307117659266,0.6455696202531646
1,0.4233824650026674,0.711214562192698,0.6496815286624203
2,0.2934028771854741,0.63474212783764,0.5185185185185185
0,0.44440369920570894,0.7110396347789998,0.6338028169014085
1,0.37645239132750347,0.6858981064964954,0.6143790849673201
2,0.35526767600237663,0.6754367611674861,0.6013071895424836
0,0.3503537790373409,0.6696928823407347,0.5850340136054422
1,0.4348523377040905,0.7106914949262475,0.6394557823129252
2,0.3604727376620036,0.6798305262056701,0.6114649681528662
0,0.31780531530107003,0.6577609462544096,0.5806451612903226
1,0.33896233016458494,0.6556648184956585,0.5481481481481482
2,0.4188218219777571,0.7068207971545141,0.6405228758169935
0,0.47435242950130263,0.7348516289686657,0.6753246753246753
1,0.33281382469025284,0.6581232346479757,0.5633802816901409
2,0.4024125558891128,0.7007532168636887,0.6369426751592356
0,0.39020034147641053,0.6860863249636855,0.6013986013986015
1,0.4071639303113149,0.7004916832304635,0.631578947368421
2,0.2957388064759005,0.643791191547233,0.5540540540540541
0,0.3890567345509334,0.6957356297987134,0.6335403726708075
1,0.34989653193287684,0.6597970499006173,0.5522388059701493
2,0.28894302910145614,0.6418558426613663,0.5562913907284769
