,Matthews,Accuracy,F1
0,0.11163388556807347,0.5467566287878788,0.32692307692307687
1,0.12274110668814273,0.5413082980012114,0.2528735632183908
2,0.1955195995762701,0.5683222289521502,0.31460674157303375
0,0.09562812831642785,0.5359848484848485,0.27368421052631575
1,0.02557633673155117,0.5098122350090855,0.23157894736842105
2,0.0,0.5,0.0
0,0.11580064156417866,0.5469933712121212,0.31683168316831684
1,0.035005908428668416,0.5037552998182919,0.029850746268656723
2,0.016064809620081416,0.5033918837068443,0.08219178082191782
0,0.15665397336046402,0.5589488636363636,0.3157894736842105
1,0.0,0.5,0.0
2,0.0,0.5,0.0
0,0.09953126438371163,0.5487689393939394,0.3937007874015748
1,-0.05451182462736477,0.48782556026650514,0.05405405405405406
2,0.15385062000626612,0.5565112053301029,0.30434782608695654
0,0.14668737258392264,0.5653409090909091,0.3783783783783784
1,0.13356531404254499,0.5341611144760751,0.18181818181818185
2,0.0,0.5,0.0
0,0.14067021319467363,0.5408380681818181,0.2195121951219512
1,0.15515167789100096,0.5380981223500908,0.1842105263157895
2,0.0,0.5,0.0
0,0.0936818924719403,0.5325520833333334,0.2444444444444444
1,0.0,0.5,0.0
2,0.1479281936824375,0.5634766807995154,0.3619047619047619
0,0.12845989893741216,0.5543323863636364,0.3428571428571428
1,0.0,0.5,0.0
2,0.11565994876160994,0.5411265899454876,0.2666666666666667
0,0.10074723938528661,0.5362215909090909,0.26086956521739135
1,-0.0032040586525222147,0.499091459721381,0.125
2,-0.08522796015709092,0.4758328285887341,0.075
