,Matthews,Accuracy,F1
0,0.5251729173287776,0.73287771898883,0.6349206349206349
1,0.6031909575964658,0.8126106847697756,0.7355371900826446
2,0.620833220531054,0.7965155237882511,0.7281553398058251
0,0.567521520389861,0.7823706643151087,0.7027027027027026
1,0.4905829816759137,0.7374557260920898,0.6415094339622641
2,0.5733436500326922,0.7747375474648202,0.6956521739130435
0,0.5780684394027322,0.7789168136390359,0.7014218009478673
1,0.50601030309194,0.7463842975206612,0.6542056074766356
2,0.47435038344129254,0.7371751917206463,0.6396396396396397
0,0.5855746824326161,0.7709986772486772,0.6934673366834171
1,0.540438217984243,0.7639093860684769,0.6790697674418605
2,0.6038834158932337,0.8004430049884594,0.7272727272727273
0,0.5631074524448064,0.7699882422104645,0.6889952153110048
1,0.6007007658425569,0.7996236717827627,0.726457399103139
2,0.5202419548109356,0.75089345543891,0.6602870813397128
0,0.4678895687128152,0.7243349500293945,0.6220095693779905
1,0.5939304951173122,0.7900309917355373,0.7162790697674418
2,0.5912200260017927,0.778497505770233,0.702970297029703
0,0.47915423758385933,0.7208810993533216,0.6161616161616161
1,0.5640341470352069,0.7721738488783944,0.6919431279620853
2,0.6097774533598562,0.807758171394535,0.7345132743362831
0,0.5844343259811708,0.7885435038212816,0.7123287671232876
1,0.5864809442844587,0.7855667060212514,0.7102803738317757
2,0.585358466349743,0.7865572183754002,0.7102803738317758
0,0.5781892771243975,0.7665343915343915,0.6868686868686869
1,0.5574052921580679,0.783094746162928,0.7012987012987012
2,0.5643591833981104,0.7754820936639119,0.6948356807511736
0,0.5694267306698018,0.7796149323927102,0.7004608294930876
1,0.49710438870501444,0.7343934474616294,0.6372549019607843
2,0.545919488994543,0.7615963070508525,0.6763285024154588
