,Matthews,Accuracy,F1
0,0.6055694636627167,0.7811740890688259,0.7058823529411765
1,0.6513072539991378,0.8170134638922888,0.7522935779816514
2,0.6398973742372144,0.7892441860465116,0.7216494845360826
0,0.6608646127136617,0.7916329284750337,0.7291666666666667
1,0.5586668186336085,0.7702978376172991,0.6851851851851852
2,0.5614266753510294,0.7659883720930232,0.6796116504854368
0,0.6146643630629584,0.8008771929824561,0.7272727272727273
1,0.5629963413860869,0.7594859241126071,0.6732673267326733
2,0.6587446128449301,0.8183831672203765,0.7547169811320756
0,0.585709446360186,0.7833333333333333,0.7037037037037038
1,0.673892089119271,0.8002855977152182,0.7422680412371133
2,0.6494505747753087,0.8195598006644518,0.7522935779816513
0,0.5949092775771756,0.7822537112010797,0.7047619047619048
1,0.6513072539991378,0.8170134638922888,0.7522935779816514
2,0.612360126041863,0.7814922480620154,0.7070707070707071
0,0.5304278225411255,0.7701079622132254,0.6779661016949152
1,0.5606349888924448,0.7350061199510405,0.6373626373626374
2,0.6113631277920795,0.7713870431893688,0.6947368421052632
0,0.46636403167131113,0.7131578947368421,0.6
1,0.5063840371161991,0.7450020399836801,0.6481481481481481
2,0.6959474585433859,0.8249584717607974,0.7722772277227722
0,0.6480998273772864,0.8074898785425102,0.742857142857143
1,0.6320245563430857,0.7935536515707875,0.7254901960784313
2,0.6443892801352995,0.8094545957918051,0.7428571428571428
0,0.5804362838509037,0.7734817813765182,0.6923076923076923
1,0.5993367910030677,0.79171766625867,0.7155963302752295
2,0.641101758935068,0.7993493909191584,0.7326732673267325
0,0.7149730140663783,0.8414979757085019,0.7924528301886793
1,0.6172160229787578,0.7798857609139127,0.7070707070707071
2,0.5095694289171045,0.7240448504983389,0.6170212765957447
