,Matthews,Accuracy,F1
0,0.4840045057145938,0.7286706349206349,0.5897435897435898
1,0.47097754385941465,0.7248584748584749,0.5822784810126581
2,0.43742502627023017,0.6393484564216272,0.4363636363636364
0,0.5115146839059007,0.7490079365079365,0.617283950617284
1,0.5029146235178676,0.7052114552114552,0.5671641791044777
2,0.36243409443263386,0.6670646426743988,0.48648648648648646
0,0.5816453279086442,0.7748015873015873,0.6666666666666666
1,0.40519921052643343,0.6625041625041626,0.4848484848484849
2,0.5189999977672206,0.7420262664165104,0.6133333333333334
0,0.4840045057145938,0.7286706349206349,0.5897435897435898
1,0.2923137759043153,0.598068598068598,0.3448275862068965
2,0.5060982501852171,0.7246290295070783,0.5915492957746479
0,0.49667090115276424,0.7321428571428572,0.5974025974025974
1,0.41328300123564005,0.6842324342324342,0.5205479452054794
2,0.5918660725759025,0.7821081357666724,0.6753246753246753
0,0.4663601725223396,0.7351190476190477,0.5882352941176471
1,0.5740502969169468,0.7794705294705295,0.6666666666666666
2,0.6199471432103164,0.7891011427596794,0.6933333333333332
0,0.32254362733495684,0.6418650793650793,0.4444444444444444
1,0.5632186418322126,0.7409257409257409,0.6285714285714286
2,0.4517019008051568,0.7106430155210643,0.56
0,0.4790942146360462,0.6850198412698413,0.5312499999999999
1,0.6090500836271472,0.7815517815517816,0.6842105263157895
2,0.4949339673653521,0.7593382227528569,0.6136363636363638
0,0.523346967509942,0.7390873015873016,0.6133333333333334
1,0.5032362797401965,0.7402597402597402,0.6075949367088608
2,0.5391068778833136,0.7542213883677298,0.6315789473684211
0,0.5865557254410011,0.7614087301587301,0.6575342465753424
1,0.6136439063827841,0.7899600399600399,0.6923076923076924
2,0.3294511889213397,0.6617772471431008,0.47500000000000003
