,Matthews,Accuracy,F1
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
0,0.0,0.5,0.766355140186916
1,0.0,0.5,0.761904761904762
2,0.0,0.5,0.761904761904762
