,Matthews,Accuracy,F1
0,0.31574262579459184,0.6354495268138801,0.45454545454545453
1,0.2756947159123779,0.6262764599510691,0.44549763033175355
2,0.31416791125764926,0.620652058291671,0.4157303370786517
0,0.2999602137941487,0.6353312302839117,0.45933014354066987
1,0.43468445373591336,0.6998856504627167,0.5660377358490566
2,0.25794456057524934,0.6037921497713009,0.38918918918918916
0,0.33716349338838514,0.6453601472134595,0.47236180904522607
1,0.3020336700376307,0.6425380278693755,0.4748858447488585
2,0.2929080541361972,0.6132858206573769,0.4022346368715084
0,0.40178507054875046,0.6714905362776025,0.5177664974619289
1,0.24172182482767782,0.5990453143282629,0.3829787234042553
2,0.2828599359268964,0.621090841399851,0.42857142857142855
0,0.26387040349292956,0.6114616193480547,0.4102564102564102
1,0.3609289791782521,0.6568317200297841,0.49246231155778886
2,0.31285000529083423,0.6352781618976704,0.4545454545454546
0,0.24029500310354102,0.6025630914826499,0.3959390862944162
1,0.29437361421744684,0.6279119242633762,0.44221105527638194
2,0.22552853176107887,0.5896048292734816,0.3606557377049181
0,0.329132196631296,0.6411934805467928,0.46464646464646464
1,0.3076846872096079,0.6336958834166577,0.45226130653266333
2,0.3095958812741826,0.6253457079034146,0.43010752688172044
0,0.30643386260747796,0.6405099894847529,0.4694835680751174
1,0.3290817519716573,0.6436815232422083,0.47
2,0.3324792667617014,0.6546511009467079,0.4930232558139535
0,0.3486949546915423,0.6449132492113565,0.46875
1,0.3277258180703728,0.6587995957876822,0.5022026431718062
2,0.33430683319393,0.645263801723221,0.4723618090452261
0,0.3815947220795834,0.6749737118822292,0.5258215962441315
1,0.2958389085133149,0.6315684501648761,0.45098039215686275
2,0.3287748364010023,0.6400249973407084,0.4615384615384615
