,Matthews,Accuracy,F1
0,0.47765380058045337,0.7434524502386218,0.6799999999999999
1,0.37836251391776987,0.6874413145539906,0.60431654676259
2,0.3252681879590546,0.6494047619047619,0.5289256198347108
0,0.41186083368765375,0.711616808287743,0.6451612903225805
1,0.3557365777379658,0.6762323943661972,0.5899280575539568
2,0.4867718142061203,0.7410714285714286,0.6715328467153284
0,0.4104429085293507,0.6932254685135607,0.5984251968503937
1,0.422964100301939,0.7159037558685446,0.6490066225165563
2,0.5019011475427825,0.7601190476190476,0.703030303030303
0,0.2777827365760477,0.6228029333022931,0.47863247863247865
1,0.2789164179070971,0.6090962441314554,0.4230769230769231
2,0.4579717070780895,0.7351190476190477,0.6710526315789473
0,0.4412757536957281,0.7206378768478641,0.647887323943662
1,0.35081440247332607,0.6812793427230046,0.6172839506172839
2,0.23809523809523808,0.6130952380952381,0.4881889763779528
0,0.4905648177333536,0.7504947037597486,0.6887417218543047
1,0.40587241051896944,0.7059859154929577,0.6351351351351351
2,0.3521167549485816,0.6779761904761905,0.5972222222222221
0,0.2815267203752801,0.6332208124781749,0.515625
1,0.4668815469763996,0.7383215962441314,0.6754966887417218
2,0.3430549234004508,0.6738095238095239,0.5931034482758621
0,0.29469598001677966,0.6165172855313701,0.43809523809523815
1,0.35907514425760784,0.6854460093896713,0.6211180124223602
2,0.3629682301240011,0.6803571428571429,0.5942028985507247
0,0.3343288863101524,0.6538819695029682,0.5365853658536585
1,0.5417858453277445,0.7716549295774648,0.7132867132867133
2,0.20615221936139538,0.5958333333333333,0.4552845528455285
0,0.32471022474452466,0.6572575951577232,0.556390977443609
1,0.2972662813869641,0.6467723004694835,0.5507246376811593
2,0.28414107944696565,0.6279761904761905,0.4915254237288136
