,Matthews,Accuracy,F1
0,0.5561638541010475,0.7249088630667578,0.6115702479338844
1,0.5535101706533321,0.7483837748154929,0.6417910447761195
2,0.6191211798237816,0.7827788082541155,0.6962962962962964
0,0.6313532211359052,0.7832649806334017,0.7014925373134328
1,0.556141694870291,0.7291321013787974,0.6178861788617886
2,0.6145431878297388,0.7893287734755391,0.7
0,0.5775650398894708,0.7378958760537708,0.6341463414634146
1,0.5880893688075083,0.7486126208593169,0.6507936507936507
2,0.5830093414814264,0.7455367493623928,0.6451612903225806
0,0.7026551688477919,0.8330200501253133,0.7692307692307692
1,0.520922806421871,0.7289032553349734,0.6106870229007634
2,0.5933020885252243,0.7477393925341989,0.6504065040650406
0,0.6108042880083132,0.7702779676463887,0.6818181818181819
1,0.6704519011204412,0.8048515361290691,0.7352941176470589
2,0.6250929215978125,0.771852538836077,0.6875
0,0.5102962955372335,0.7225449988607884,0.6
1,0.61925859991043,0.7680931403398363,0.6821705426356589
2,0.5631944142055147,0.7411314630187804,0.6349206349206348
0,0.577860867309266,0.742196400091137,0.64
1,0.6504047300674821,0.7918645231420562,0.7164179104477613
2,0.5462039620552577,0.741102480871783,0.6307692307692309
0,0.5881957167791679,0.7400888585099111,0.6393442622950819
1,0.6089478058843439,0.7615996338463298,0.671875
2,0.5966080397990657,0.7652446093206584,0.6717557251908397
0,0.6110149454241296,0.7895876053770791,0.6993006993006993
1,0.5449560773917237,0.7461811316436867,0.6370370370370371
2,0.5204555771510893,0.7191919777417111,0.5967741935483871
0,0.6316065811529242,0.802574618364092,0.7172413793103448
1,0.5880893688075083,0.7486126208593169,0.6507936507936507
2,0.4996043223743102,0.7104103872014839,0.5806451612903226
