,Matthews,Accuracy,F1
0,0.8250286473253902,0.8529411764705883,0.8275862068965517
1,0.9285614020474159,0.9375,0.9333333333333333
2,0.9665427010889496,0.9962962962962962,0.9696969696969697
0,0.903614650293382,0.9631808278867102,0.9142857142857143
1,0.5375457928884337,0.65625,0.47619047619047616
2,0.8142152225127142,0.84375,0.8148148148148148
0,0.8618004163847417,0.8823529411764706,0.8666666666666666
1,0.9285614020474159,0.9375,0.9333333333333333
2,0.8915362900755859,0.90625,0.896551724137931
0,0.9665692191267637,0.9705882352941176,0.9696969696969697
1,0.7735659346940951,0.8125,0.7692307692307693
2,0.9300925925925926,0.9650462962962962,0.9375
0,0.9324547583351043,0.9411764705882353,0.9375
1,0.8915362900755859,0.90625,0.896551724137931
2,0.8142152225127142,0.84375,0.8148148148148148
0,0.8618004163847417,0.8823529411764706,0.8666666666666666
1,0.9285614020474159,0.9375,0.9333333333333333
2,0.8534736470372417,0.875,0.8571428571428571
0,0.8618004163847417,0.8823529411764706,0.8666666666666666
1,1.0,1.0,1.0
2,0.8142152225127142,0.84375,0.8148148148148148
0,0.8250286473253902,0.8529411764705883,0.8275862068965517
1,0.8915362900755859,0.90625,0.896551724137931
2,0.8915362900755859,0.90625,0.896551724137931
0,0.8618004163847417,0.8823529411764706,0.8666666666666666
1,0.9285614020474159,0.9375,0.9333333333333333
2,0.8915362900755859,0.90625,0.896551724137931
0,0.6642111641550714,0.7352941176470589,0.6399999999999999
1,0.8915362900755859,0.90625,0.896551724137931
2,0.9285614020474159,0.9375,0.9333333333333333
