,Matthews,Accuracy,F1
0,0.5227502101254368,0.75853889943074,0.7350427350427351
1,0.5488246659424,0.772420443587271,0.7521367521367521
2,0.6267711297348583,0.7980181061903597,0.761904761904762
0,0.5371843671922587,0.767314990512334,0.7500000000000001
1,0.5399750933394771,0.7501205400192864,0.693069306930693
2,0.6872470608482716,0.8419378517249816,0.8305084745762712
0,0.5575721710113237,0.7725332068311195,0.743362831858407
1,0.6702850993706557,0.8230472516875602,0.7962962962962963
2,0.5423546084752469,0.7592366038659164,0.7169811320754719
0,0.48511402155468325,0.7322106261859582,0.6851851851851853
1,0.6286305246419683,0.7984570877531341,0.761904761904762
2,0.6557738501904616,0.826278443846342,0.8135593220338982
0,0.564704344997556,0.760910815939279,0.7058823529411764
1,0.6755788895150788,0.8337753134040502,0.817391304347826
2,0.5928274288748419,0.7949596280890628,0.7796610169491526
0,0.6314421312245398,0.7917457305502846,0.7450980392156863
1,0.7093844811698423,0.8484811957569913,0.8318584070796459
2,0.5165549913209561,0.7539760215316857,0.7256637168141593
0,0.585096565461498,0.7893738140417457,0.7692307692307693
1,0.5773124884552157,0.7755544840887174,0.7358490566037736
2,0.6036228035948593,0.7912894543675066,0.7592592592592592
0,0.5702439778492803,0.7813092979127134,0.7586206896551724
1,0.5958787727523019,0.7829074252651881,0.742857142857143
2,0.6083254224615892,0.8031563494005383,0.7899159663865546
0,0.585096565461498,0.7893738140417457,0.7692307692307693
1,0.5557912282724713,0.7690453230472516,0.7339449541284403
2,0.5951951211516653,0.7934915586004404,0.7719298245614035
0,0.6327496415258457,0.8121442125237192,0.7931034482758621
1,0.5976671171335336,0.7944792671166827,0.7719298245614035
2,0.5210048449355276,0.7525079520430633,0.7155963302752295
