,Matthews,Accuracy,F1
0,0.3791087370725205,0.653004005340454,0.4727272727272728
1,0.25059895633441576,0.6052560646900269,0.38596491228070173
2,0.1561385959281613,0.5334231805929919,0.15
0,0.34278443690999344,0.629105473965287,0.4230769230769231
1,0.1228712111574424,0.5287061994609165,0.14634146341463414
2,0.3582077635536626,0.6239892183288409,0.40816326530612246
0,0.4475136190809847,0.7008010680907877,0.5573770491803278
1,0.3582077635536626,0.6239892183288409,0.40816326530612246
2,0.24491094280667236,0.5524258760107816,0.19999999999999998
0,0.5066622663337971,0.6571428571428571,0.4782608695652174
1,0.3312765306604779,0.6529649595687331,0.47619047619047616
2,0.2365977585308377,0.5764150943396227,0.2978723404255319
0,0.3321336579588225,0.634045393858478,0.43636363636363634
1,0.4315692653902551,0.681266846361186,0.5263157894736843
2,0.3076548330555522,0.6338274932614556,0.44067796610169496
0,0.5025655722594656,0.7148197596795728,0.5862068965517241
1,0.36840255599566224,0.6575471698113208,0.48275862068965525
2,0.14708043058552858,0.5142857142857142,0.05555555555555556
0,0.42608381618621854,0.67196261682243,0.509090909090909
1,0.2848778364768746,0.5762803234501348,0.2790697674418604
2,0.3221707424980832,0.5809973045822102,0.2857142857142857
0,0.17169620934862959,0.5431241655540721,0.19047619047619044
1,0.2042084917827916,0.5477088948787062,0.19512195121951217
2,0.27953213615752986,0.6195417789757413,0.4137931034482759
0,0.42608381618621854,0.67196261682243,0.509090909090909
1,0.3418500393272359,0.6288409703504043,0.4230769230769231
2,0.09958894010563049,0.5191374663072776,0.10256410256410256
0,0.3992037666682131,0.6576769025367156,0.4814814814814815
1,0.31298585642594146,0.6289757412398922,0.42857142857142855
2,0.2139100362238016,0.557277628032345,0.23255813953488372
