,Matthews,Accuracy,F1
0,0.5560093807890868,0.7608870967741936,0.6491228070175439
1,0.3317209771692992,0.6374193548387097,0.44000000000000006
2,0.22477607930427726,0.5686091749067921,0.2716049382716049
0,0.3931234069941121,0.6696774193548387,0.5
1,0.37266223768663775,0.6560483870967742,0.47524752475247517
2,0.40772306691589955,0.6689495866428918,0.4999999999999999
0,0.39310185830963756,0.6610483870967743,0.48484848484848475
1,0.37266223768663775,0.6560483870967742,0.47524752475247517
2,0.5044462350062217,0.7198492462311558,0.5904761904761905
0,0.4764134113251304,0.729758064516129,0.5932203389830509
1,0.5186136856734977,0.7280645161290322,0.6037735849056604
2,0.2403182561043311,0.5913438158534609,0.3440860215053763
0,0.43779789127691077,0.685241935483871,0.5294117647058822
1,0.4705667317673958,0.7069354838709678,0.5660377358490567
2,0.41787028251135006,0.6886448370886692,0.5321100917431193
0,0.37811926504208676,0.6616129032258065,0.4854368932038835
1,0.2330322417639828,0.5656451612903226,0.2564102564102564
2,0.3516280428713771,0.6336521316258713,0.4301075268817204
0,0.35164494798314044,0.6424193548387097,0.4489795918367347
1,0.4659357631905857,0.7303225806451613,0.5901639344262295
2,0.44561083449554983,0.6567920246393256,0.4772727272727273
0,0.0,0.5,0.0
1,0.38786186710862575,0.6641129032258064,0.49019607843137253
2,0.43778391326312605,0.670935321770141,0.505263157894737
0,0.5467002258945693,0.7670161290322581,0.6499999999999999
1,0.23930330184600296,0.5712096774193548,0.27499999999999997
2,0.400226378140742,0.6836197114605285,0.5225225225225224
0,0.31093681781471866,0.635483870967742,0.4380952380952381
1,0.5219660383749151,0.7595161290322581,0.6341463414634146
2,0.21149887370410117,0.5660966120927217,0.2682926829268293
