,Matthews,Accuracy,F1
0,0.6483361743126065,0.8241680871563033,0.7475728155339806
1,0.6771564565861802,0.8354662475677294,0.7661691542288557
2,0.6970992552751563,0.8310232138832545,0.7724867724867724
0,0.7118925803831646,0.859019491588231,0.7942583732057416
1,0.6982657443268613,0.8341191438407424,0.7748691099476441
2,0.6649491435787777,0.831473968897904,0.7586206896551724
0,0.7775019266007153,0.8898873489957755,0.8405797101449275
1,0.688651133140846,0.8463553360275408,0.7766990291262137
2,0.7264668383390543,0.8476448050484562,0.7958115183246073
0,0.6854601009693408,0.8385644408211665,0.7722772277227724
1,0.7563555984777269,0.8804071246819338,0.825242718446602
2,0.6937645408474055,0.8380662609871534,0.7755102040816325
0,0.7311399617885048,0.8676906544133995,0.8076923076923078
1,0.7565400701934877,0.8673477024397545,0.8205128205128205
2,0.6612011018790314,0.8325445120576966,0.7572815533980582
0,0.6947923375317017,0.8463647817386792,0.7804878048780487
1,0.690680701679241,0.8493488998652896,0.7788461538461539
2,0.7368414071263116,0.8615055217489295,0.8080808080808081
0,0.7435983623168176,0.8586859853257245,0.8102564102564102
1,0.7209580527153981,0.8488250261936836,0.7938144329896908
2,0.6863871985575839,0.843193599278792,0.7745098039215687
0,0.7954462891430059,0.9054880308308012,0.8544600938967137
1,0.7232296152226713,0.8548121538691813,0.797979797979798
2,0.6502311420453767,0.8146270002253775,0.7422680412371134
0,0.6812265301497037,0.8396020158600757,0.7707317073170732
1,0.7080449746668915,0.8550740907049843,0.7902439024390243
2,0.740713594812154,0.8544624746450304,0.806282722513089
0,0.6978015651263838,0.8177758837915956,0.7624309392265193
1,0.7017190943657523,0.8430998353539889,0.7817258883248731
2,0.7038190903536791,0.8559837728194726,0.7884615384615384
