,Matthews,Accuracy,F1
0,0.0,0.5,0.0
1,0.0,0.5,0.0
2,-0.061360086709227,0.4921875,0.0
0,0.0,0.5,0.0
1,0.0,0.5,0.0
2,0.0,0.5,0.0
0,-0.08770580193070292,0.4846153846153846,0.0
1,0.0,0.5,0.0
2,-0.061360086709227,0.4921875,0.0
0,0.0,0.5,0.0
1,0.0,0.5,0.0
2,-0.061360086709227,0.4921875,0.0
0,-0.1080623854417376,0.47692307692307695,0.0
1,0.0,0.5,0.0
2,0.0,0.5,0.0
0,-0.061651479928510756,0.49230769230769234,0.0
1,0.0,0.5,0.0
2,-0.08730378697119727,0.484375,0.0
0,0.0,0.5,0.0
1,0.0,0.5,0.0
2,0.0,0.5,0.0
0,0.0,0.5,0.0
1,0.0,0.5,0.0
2,0.0,0.5,0.0
0,-0.08770580193070292,0.4846153846153846,0.0
1,-0.0625,0.4921875,0.0
2,0.0,0.5,0.0
0,-0.08770580193070292,0.4846153846153846,0.0
1,0.0,0.5,0.0
2,-0.08730378697119727,0.484375,0.0
