,Matthews,Accuracy,F1
0,0.6826583908679085,0.8318499246884843,0.7936507936507936
1,0.5601077324189995,0.7744762426400109,0.71875
2,0.6529074372379454,0.8345959595959596,0.7916666666666666
0,0.5852665237420398,0.7963165822264823,0.7482014388489208
1,0.7518673456575188,0.8806654799397509,0.8489208633093526
2,0.6589704728901546,0.8362794612794613,0.7943262411347518
0,0.6566668759915308,0.8324661098178832,0.7913669064748201
1,0.6834139930356464,0.8473914829522115,0.8085106382978724
2,0.6041628667555664,0.805976430976431,0.7591240875912407
0,0.6570122379107596,0.8365055456661645,0.7945205479452054
1,0.6074754542329671,0.7899493358893606,0.7377049180327869
2,0.6433266169616786,0.8186026936026936,0.7751937984496123
0,0.6826583908679085,0.8318499246884843,0.7936507936507936
1,0.6612473681533058,0.839381076270026,0.7972972972972973
2,0.6186813436566737,0.8063973063973064,0.7596899224806201
0,0.7650252408117352,0.888128166506915,0.8571428571428571
1,0.6090666411585368,0.8083664247569492,0.7625899280575541
2,0.6055094110611183,0.7988215488215489,0.7500000000000001
0,0.6295162568714927,0.8215801725318362,0.7777777777777778
1,0.6584653885983398,0.8226756127618787,0.7812500000000001
2,0.6899607682084371,0.8501683501683501,0.8115942028985507
0,0.6394613590545607,0.826167328495139,0.7832167832167832
1,0.6566668759915308,0.8324661098178832,0.7913669064748201
2,0.6318586027328952,0.813973063973064,0.7692307692307692
0,0.6360033258010096,0.8232917978912776,0.7801418439716312
1,0.6910516969291103,0.8491031083116527,0.8115942028985507
2,0.700562994050815,0.8547979797979799,0.8175182481751825
0,0.7103336507381897,0.8623168560865397,0.8251748251748251
1,0.6407557958776676,0.8221278926468574,0.7794117647058824
2,0.6582491582491582,0.8291245791245792,0.7878787878787878
