,Matthews,Accuracy,F1
0,0.6267521574774861,0.8168604651162791,0.7358490566037735
1,0.6848434312171574,0.8362403100775193,0.7722772277227722
2,0.5961252475127927,0.7936246632744688,0.7093596059113301
0,0.645321632531993,0.8093321407274896,0.7384615384615384
1,0.5467514388830208,0.7725849731663685,0.676328502415459
2,0.5191571703913976,0.7588296917090691,0.6570048309178744
0,0.5952623995145039,0.7842874180083482,0.7010309278350516
1,0.6065480834240919,0.8015056648777579,0.7184466019417477
2,0.6569977326457238,0.8225830589643819,0.7524752475247524
0,0.4881514580725166,0.7322599880739415,0.621761658031088
1,0.5417775735515182,0.766845557543232,0.6699507389162562
2,0.6000525666962137,0.7927080215504341,0.7100000000000002
0,0.6430161866489761,0.8035927251043531,0.7329842931937174
1,0.6556815372720518,0.8332215265354801,0.7570093457943925
2,0.588227093152246,0.7888169709667765,0.702970297029703
0,0.6436252996331497,0.8160032796660703,0.7425742574257426
1,0.6210018574151756,0.8187239117471676,0.7339449541284404
2,0.6000525666962137,0.7927080215504341,0.7100000000000002
0,0.5929776009642945,0.7947599880739415,0.7087378640776699
1,0.5921452170745648,0.798561419200954,0.7109004739336492
2,0.6178568883684482,0.7833171206225681,0.7065217391304348
0,0.6395077088554054,0.8169350029815146,0.7414634146341463
1,0.6650395382603762,0.827556648777579,0.7586206896551725
2,0.5549935169409047,0.7733650104759053,0.6798029556650246
0,0.5439606016304699,0.7735166964818128,0.6761904761904762
1,0.546078423071526,0.7525715563506261,0.6559139784946237
2,0.6019812210509415,0.7955701885662976,0.7128712871287128
0,0.5866446926465886,0.7861508646392368,0.7
1,0.6180858296497882,0.8053816338700059,0.7254901960784313
2,0.6415849326278299,0.8129676743489973,0.74
