,Matthews,Accuracy,F1
0,0.10317321566388593,0.5463636363636364,0.3870967741935484
1,-0.004843594796964827,0.49818181818181817,0.22857142857142856
2,-0.06399221901922213,0.47174447174447176,0.26666666666666666
0,-0.05096901760614474,0.4766666666666667,0.2992125984251969
1,0.13069777347376235,0.5557575757575758,0.37606837606837606
2,0.14157258791508778,0.5578624078624079,0.3603603603603604
0,0.08644727475826704,0.5412121212121213,0.4148148148148148
1,-0.006241877839323592,0.49727272727272726,0.3
2,0.0330563082296276,0.5127764127764127,0.2641509433962264
0,-0.06895337168283994,0.4672727272727273,0.3134328358208956
1,0.07074128217900072,0.530909090909091,0.35000000000000003
2,0.027901654359699532,0.5124078624078624,0.3305785123966942
0,0.006146177308559971,0.5024242424242424,0.25688073394495414
1,-0.04533045731001515,0.4784848484848485,0.3283582089552239
2,0.007908342476378909,0.5034398034398034,0.3050847457627119
0,0.17026271328644846,0.5815151515151515,0.4705882352941177
1,0.006146177308559971,0.5024242424242424,0.25688073394495414
2,-0.007715111527600157,0.49643734643734644,0.33070866141732286
0,-0.006241877839323592,0.49727272727272726,0.3
1,-0.00670025210172808,0.49696969696969695,0.32
2,-0.11228611033548302,0.4465601965601965,0.2857142857142857
0,-0.026477411743451813,0.4878787878787879,0.31496062992125984
1,0.016926351568204778,0.5078787878787878,0.35384615384615375
2,0.049050358385400394,0.5214987714987716,0.33613445378151263
0,-0.06177368655552203,0.4724242424242424,0.2764227642276423
1,-0.006241877839323592,0.49727272727272726,0.3
2,0.09707969161936933,0.5418918918918919,0.358974358974359
0,-0.06592357295737389,0.47,0.28571428571428564
1,0.034421256407545654,0.5151515151515151,0.3305785123966942
2,0.0024862860320524335,0.5011056511056511,0.31404958677685946
