,Matthews,Accuracy,F1
0,0.6207930365102569,0.8165881737310309,0.7407407407407408
1,0.6420024368624432,0.8415227629513344,0.7574750830564784
2,0.6226153645659386,0.821323914181057,0.743682310469314
0,0.5786114806704856,0.8021716378859236,0.7157894736842105
1,0.7061640639601298,0.8661433804290948,0.8
2,0.6053373717772822,0.802014652014652,0.7258687258687259
0,0.6569947474399482,0.8233124018838305,0.758893280632411
1,0.5837792226072421,0.7982469911041339,0.7158671586715868
2,0.6807459143614508,0.8507587650444793,0.7826086956521738
0,0.6552520713145761,0.8492150706436421,0.7656765676567657
1,0.6419765057668123,0.8328623757195186,0.757142857142857
2,0.687444977077261,0.8472789115646259,0.7849056603773585
0,0.6032205037296677,0.8097854526425955,0.72992700729927
1,0.6505339590598512,0.8362637362637362,0.762589928057554
2,0.6534231498342671,0.833228676085819,0.7629629629629631
0,0.6529607262601471,0.8409994767137625,0.7649122807017544
1,0.6772159644805398,0.856828885400314,0.7808219178082192
2,0.645262716584071,0.8272370486656201,0.7565543071161049
0,0.6145079609595648,0.8265829408686551,0.74
1,0.7092455076632808,0.8514913657770801,0.7968749999999999
2,0.6122060390776842,0.8183673469387756,0.7375886524822695
0,0.6870897653483458,0.8597854526425954,0.7874564459930313
1,0.5861120845319596,0.7978021978021979,0.7164179104477613
2,0.6810011238267429,0.8615646258503402,0.7826086956521738
0,0.6015125939596773,0.8050497121925693,0.7265917602996255
1,0.6783961013223009,0.8537938252223967,0.7816901408450705
2,0.6356232267340655,0.8264259549973836,0.7518248175182481
0,0.6140214113978003,0.8153322867608581,0.7372262773722628
1,0.6573553570424706,0.8518053375196233,0.7662337662337663
2,0.7039201974797213,0.8665881737310308,0.7985865724381626
