,Matthews,Accuracy,F1
0,0.39013440528512244,0.6753027595791146,0.5196850393700787
1,0.3442811130699863,0.6328301635855832,0.4363636363636364
2,0.40409337598541434,0.6690716850645033,0.5084745762711864
0,0.40138536926552926,0.6648137118655284,0.5
1,0.3407911388568738,0.6284080329831094,0.4259259259259259
2,0.2826734452392539,0.6366538103471207,0.460431654676259
0,0.4297531823674244,0.6676262325458275,0.5045045045045046
1,0.2721501264267877,0.6050006649820455,0.3818181818181817
2,0.36541069549619737,0.637684532517622,0.4444444444444444
0,0.3645077281300972,0.6551518761167361,0.48333333333333334
1,0.374324358288211,0.6356895863811677,0.4380952380952381
2,0.3714583163094072,0.6465287937225694,0.4642857142857143
0,0.3127537778060003,0.6148501091919794,0.39622641509433965
1,0.44669669441359283,0.7048809682138583,0.5692307692307693
2,0.3556925615526459,0.6460965553930044,0.46551724137931033
0,0.2779930947254354,0.6096221295744821,0.3928571428571428
1,0.3683219884159062,0.674192046814736,0.5185185185185185
2,0.36038771588213786,0.6288402713126746,0.423076923076923
0,0.3484773082990441,0.6374164515915558,0.44642857142857145
1,0.37280745461336595,0.6573680010639713,0.48739495798319327
2,0.3936163973415555,0.6730615773374119,0.5161290322580645
0,0.4239486905653382,0.6740784858712197,0.5172413793103448
1,0.2826560651590475,0.6138449261869929,0.40350877192982454
2,0.3843696281181728,0.6292725096422397,0.42
0,0.3568107174525078,0.6591886705049301,0.49206349206349204
1,0.38960295896281794,0.6686394467349381,0.5081967213114754
2,0.36146389210629226,0.6441016092565501,0.46017699115044247
0,0.38843887545635236,0.6579643967970352,0.4869565217391304
1,0.2595466025002092,0.614975395664317,0.416
2,0.3819218810198429,0.6597951855299907,0.4915254237288136
