,Matthews,Accuracy,F1
0,0.9010612131184165,0.9287284144427002,0.9180327868852458
1,0.8704505165763061,0.9169544740973312,0.894308943089431
2,0.9099400505562786,0.9354591836734694,0.9256198347107438
0,0.9008999782043783,0.9343799058084772,0.9193548387096773
1,0.9115983261156541,0.9307692307692308,0.9256198347107438
2,0.8790433479915332,0.9177933673469387,0.8999999999999999
0,0.9311039008066346,0.9574568288854004,0.9448818897637796
1,0.8716019289105664,0.9,0.888888888888889
2,0.8895751008322704,0.9198341836734694,0.9075630252100839
0,0.9109977509003376,0.942072213500785,0.928
1,0.870774957211201,0.905651491365777,0.8907563025210083
2,0.9205063909665574,0.9375,0.9333333333333333
0,0.870774957211201,0.905651491365777,0.8907563025210083
1,0.8907697680927711,0.9266875981161695,0.9105691056910569
2,0.9305296430886373,0.9453125,0.9421487603305785
0,0.9010612131184165,0.9287284144427002,0.9180327868852458
1,0.9115983261156541,0.9307692307692308,0.9256198347107438
2,0.9098564991327929,0.9412308673469387,0.9268292682926829
0,0.880605044969994,0.9189952904238619,0.9016393442622951
1,0.931055229790899,0.9518053375196232,0.944
2,0.8902480013492027,0.9140625,0.905982905982906
0,0.9016492346711702,0.9230769230769231,0.9166666666666666
1,0.8395564523765159,0.8882260596546311,0.864406779661017
2,0.9301748960564059,0.9510841836734694,0.943089430894309
0,0.9608086658646384,0.9748822605965464,0.96875
1,0.8194872707067691,0.8671899529042386,0.8421052631578948
2,0.8997748694790453,0.9276466836734694,0.9166666666666665
0,0.9016492346711702,0.9230769230769231,0.9166666666666666
1,0.9010612131184165,0.9287284144427002,0.9180327868852458
2,0.9098564991327929,0.9412308673469387,0.9268292682926829
