,Matthews,Accuracy,F1
0,0.8891451993761333,0.959920634920635,0.9152542372881356
1,0.833724324613428,0.9299502844090115,0.8735632183908046
2,0.8554790866063775,0.9165584270166167,0.8875
0,0.8468336517100552,0.9301587301587302,0.8837209302325582
1,0.865458436621163,0.930913244054284,0.896969696969697
2,0.8576456245199565,0.9438572132395755,0.8914285714285715
0,0.898154818986672,0.9472222222222222,0.9221556886227544
1,0.8424139766980077,0.9359743807945538,0.8800000000000001
2,0.843749033791321,0.9253370358758454,0.880952380952381
0,0.8762530077350573,0.9416666666666667,0.9058823529411765
1,0.8351729240044174,0.9193129394903032,0.8742514970059881
2,0.877885082265692,0.949433421418014,0.9069767441860466
0,0.8824816056414447,0.9394179894179895,0.9101796407185628
1,0.8557003312121795,0.9396918529135128,0.8901734104046242
2,0.8298189974831253,0.9216195637568863,0.8705882352941176
0,0.8607696512042492,0.9338624338624338,0.8941176470588236
1,0.8906610002886429,0.9489855332109105,0.9166666666666667
2,0.8096771291259993,0.9160433555784476,0.8554913294797688
0,0.833300303979075,0.9264550264550264,0.8735632183908046
1,0.875023678122869,0.9411027007658888,0.9047619047619048
2,0.8678825189927317,0.9392439647064093,0.8994082840236686
0,0.8553241453872475,0.9361111111111111,0.8901734104046243
1,0.8678825189927317,0.9392439647064093,0.8994082840236686
2,0.865458436621163,0.930913244054284,0.896969696969697
0,0.8269895864474659,0.91005291005291,0.8674698795180722
1,0.8795815508643672,0.9535987817440766,0.9080459770114944
2,0.8812905418955964,0.9387960764993057,0.9090909090909091
0,0.8637995086532471,0.942063492063492,0.896551724137931
1,0.8477275762462725,0.9146996909571371,0.8819875776397516
2,0.8642958087807208,0.945715949299055,0.896551724137931
