,Matthews,Accuracy,F1
0,0.5484180331042875,0.749187849082412,0.6574074074074074
1,0.5188684183151151,0.7239969223754702,0.6176470588235294
2,0.39353704015122726,0.6695107587118274,0.5247524752475248
0,0.5272843525158629,0.7348256012766443,0.6350710900473933
1,0.5272843525158629,0.7348256012766443,0.6350710900473933
2,0.4727772790238057,0.7193541900083311,0.6090909090909091
0,0.48815631550246513,0.7320186937193662,0.62882096069869
1,0.5288288407869599,0.7393565485010829,0.641860465116279
2,0.4437579202775181,0.6813467781320923,0.5416666666666666
0,0.4505204904010528,0.7022968197879859,0.5821596244131456
1,0.481712663098517,0.7229567992704891,0.6153846153846153
2,0.4513760315346272,0.7071590680571117,0.5898617511520738
0,0.481712663098517,0.7229567992704891,0.6153846153846153
1,0.49846348205701774,0.7141656217941411,0.6009852216748769
2,0.4458799004777432,0.7053922836048149,0.5871559633027523
0,0.5694102340159832,0.7731106804969794,0.689655172413793
1,0.5091123536364627,0.7295252479197538,0.6261682242990654
2,0.4043727305499772,0.6707460714183113,0.5252525252525252
0,0.5591672758154493,0.7413940499259091,0.6470588235294118
1,0.465666091127371,0.7226860822979597,0.6147186147186147
2,0.4682478484665429,0.7124594214140021,0.5981308411214954
0,0.5204219341965188,0.7307933432121281,0.6285714285714286
1,0.4530107556090823,0.7118574033967855,0.5982142857142856
2,0.4909020548880624,0.7269527995633314,0.6210045662100456
0,0.5261607284433867,0.7443861848854441,0.6486486486486487
1,0.4777926570681759,0.7284851248147726,0.6233766233766234
2,0.48690944138521725,0.7200580309690023,0.6103286384976526
0,0.47888561997170115,0.7184258520460504,0.6082949308755761
1,0.4863995006850354,0.7128975265017667,0.5990338164251208
2,0.5492552643026885,0.7640696371628027,0.6753246753246753
