,Matthews,Accuracy,F1
0,0.3645106519811156,0.6740669240669241,0.5714285714285715
1,0.38862411330981533,0.6898238747553815,0.6
2,0.4918758652006423,0.7363848980955563,0.6578947368421052
0,0.37433075243230485,0.6705276705276706,0.5555555555555556
1,0.4010262264405775,0.691617742987606,0.5974025974025974
2,0.44309165782495313,0.6852656197794854,0.5625
0,0.3311125398026729,0.6605534105534105,0.5569620253164557
1,0.41040450981975574,0.6731898238747553,0.5454545454545454
2,0.27733465330691626,0.6343133979284998,0.5194805194805195
0,0.4773312684075903,0.7197554697554698,0.6301369863013699
1,0.23110354963038668,0.6064905414220483,0.4657534246575342
2,0.3064484234010271,0.6281323087203474,0.46874999999999994
0,0.3810502275697828,0.6895109395109396,0.6024096385542169
1,0.5288597360399835,0.7630463144161774,0.6987951807228916
2,0.2814347899649059,0.6304710992315402,0.5
0,0.4393913509956922,0.7062419562419563,0.6133333333333334
1,0.3623613829093281,0.6811806914546641,0.5952380952380952
2,0.4457552307126615,0.7066488473103909,0.6111111111111112
0,0.4080845931435748,0.6978764478764479,0.6075949367088608
1,0.5398724098962839,0.7345075016307894,0.6470588235294118
2,0.4394511049462611,0.7158369528900768,0.6329113924050632
0,0.26848190906869246,0.6335263835263836,0.5301204819277109
1,0.39096234035970256,0.6981409001956947,0.6206896551724138
2,0.3225149001518448,0.6495155362512529,0.5277777777777778
0,0.3311125398026729,0.6605534105534105,0.5569620253164557
1,0.5300040385735574,0.6904761904761905,0.5517241379310345
2,0.45133305171629395,0.7342131640494487,0.6666666666666667
0,0.2641920879030406,0.6161518661518661,0.463768115942029
1,0.33081528481921413,0.6508480104370515,0.5277777777777778
2,0.41283579326513054,0.707484129635817,0.6265060240963854
