,Matthews,Accuracy,F1
0,0.44143522342462865,0.7120377655389457,0.64
1,0.4208703270286647,0.7081694204038814,0.6443514644351465
2,0.5174973273148082,0.756818777865198,0.7053941908713693
0,0.42160184693965064,0.7039732494099135,0.6315789473684211
1,0.4891374824364639,0.7419354838709677,0.6861924686192469
2,0.4208567999583954,0.7109887227904537,0.653225806451613
0,0.5081732201448496,0.75,0.6949152542372881
1,0.38631141047671663,0.6934172567532126,0.6315789473684211
2,0.4267758938113964,0.7136768948334644,0.6558704453441295
0,0.4408083468069329,0.71066089693155,0.6367713004484306
1,0.3975119161019653,0.7002360346184107,0.6428571428571429
2,0.4606753633851042,0.7270521898767375,0.6666666666666667
0,0.45122586268925124,0.7202334120115395,0.6551724137931035
1,0.43327163111327877,0.7135457644899029,0.6497890295358649
2,0.5065712200658429,0.7472462627852086,0.6896551724137931
0,0.3380219702943457,0.6578809336480462,0.5581395348837209
1,0.45736243503036433,0.7328219249934436,0.6867924528301886
2,0.40411333105060154,0.7014817728822449,0.639344262295082
0,0.47594972586994827,0.7268554943613952,0.6576576576576577
1,0.3754881428185515,0.6909257802255442,0.6387832699619772
2,0.43476935292624114,0.709349593495935,0.6371681415929203
0,0.4944460127819019,0.7432467873065828,0.6864406779661016
1,0.42996908652061616,0.7094151586677158,0.6406926406926408
2,0.37229607084069455,0.6896144767899293,0.6390977443609022
0,0.5041455776777446,0.738985051140834,0.6727272727272727
1,0.5272040384761926,0.7678992918961447,0.7251908396946565
2,0.3947471245015471,0.6918436926304747,0.6173913043478262
0,0.47050587978343844,0.7338709677419355,0.6776859504132231
1,0.4882095818038192,0.74475478625754,0.6935483870967742
2,0.43291513254632114,0.7052189876737478,0.6272727272727272
