,Matthews,Accuracy,F1
0,0.696996268484744,0.8573920909795814,0.7549668874172185
1,0.7733017242318491,0.8694107004393901,0.8115942028985507
2,0.711821098790365,0.8984270342681819,0.7630057803468209
0,0.7305074523994142,0.8652537261997071,0.7808219178082192
1,0.646291031274231,0.8231455156371155,0.7123287671232877
2,0.7159938098745653,0.8836480705241778,0.7701863354037267
0,0.740098134670446,0.8578444042388214,0.7857142857142858
1,0.7134203955851801,0.8658137330920996,0.7682119205298013
2,0.6999049094854475,0.8535931895769413,0.7567567567567568
0,0.6664923843723962,0.827862496769191,0.7272727272727273
1,0.7047031459606562,0.8806323770138709,0.7607361963190183
2,0.7722176999405624,0.8978436541203924,0.8157894736842105
0,0.7136641681743775,0.8568320840871888,0.7671232876712328
1,0.7819805222667972,0.9047772895666408,0.8235294117647058
2,0.6320416870091949,0.8109200120997364,0.6993006993006993
0,0.7107129354238949,0.8515550960627207,0.7638888888888888
1,0.6904833618867374,0.8685060739209098,0.75
2,0.7032907292008793,0.8588652175791884,0.7600000000000001
0,0.6880903897906593,0.8759153958817955,0.7469879518072289
1,0.6562591484004785,0.8210131817006978,0.7183098591549297
2,0.6365471756536398,0.856294023594486,0.7052023121387282
0,0.7006325777645044,0.8626690790040492,0.7581699346405228
1,0.7401753700534528,0.8900663392780219,0.7898089171974523
2,0.692037398885382,0.8646774123849446,0.751592356687898
0,0.6980631703957725,0.8827647109502886,0.7544910179640719
1,0.6943928036202694,0.8610967519600241,0.7532467532467533
2,0.7303487316883454,0.8651743658441726,0.7808219178082192
0,0.6527459050254327,0.872318428534505,0.7150837988826817
1,0.6598178490987048,0.8030498836908762,0.712121212121212
2,0.7330061357452768,0.8794131627846679,0.7843137254901962
