,Matthews,Accuracy,F1
0,0.3761626197515065,0.6863636363636363,0.6938775510204083
1,0.4146139914483855,0.69,0.6111111111111112
2,0.30047564754630846,0.6463636363636364,0.6666666666666667
0,0.1348983321458862,0.5618181818181818,0.4444444444444444
1,0.23593505280820404,0.6181818181818182,0.6086956521739131
2,0.36727272727272725,0.6836363636363636,0.6808510638297872
0,0.2758625232834386,0.6381818181818182,0.6222222222222223
1,0.2758625232834386,0.6381818181818182,0.6222222222222223
2,0.050390325986026885,0.5245454545454545,0.45
0,0.36116211929871234,0.6809090909090909,0.6666666666666666
1,0.23593505280820404,0.6181818181818182,0.6086956521739131
2,0.6624330328845729,0.8318181818181818,0.8260869565217391
0,0.27786131565283156,0.6245454545454545,0.5142857142857142
1,0.4464617153139861,0.7236363636363636,0.711111111111111
2,0.33830929399079007,0.6663636363636364,0.68
0,0.5000033299922412,0.7490909090909091,0.7500000000000001
1,0.08721194578884495,0.5390909090909091,0.39999999999999997
2,0.2699079613259855,0.6327272727272727,0.5853658536585366
0,0.2309090909090909,0.6154545454545455,0.5909090909090909
1,0.44748853538924643,0.7154545454545455,0.6666666666666667
2,0.4018181818181818,0.7009090909090909,0.6818181818181818
0,0.36116211929871234,0.6809090909090909,0.6666666666666666
1,0.30047564754630846,0.6463636363636364,0.6666666666666667
2,0.22582331275219455,0.61,0.55
0,0.3212346488234778,0.6609090909090909,0.6521739130434783
1,0.5000033299922412,0.7490909090909091,0.7500000000000001
2,0.14129034985788294,0.5700000000000001,0.5238095238095238
0,0.14129034985788294,0.5700000000000001,0.5238095238095238
1,0.2700036310576466,0.63,0.5641025641025642
2,0.2758625232834386,0.6381818181818182,0.6222222222222223
