,Matthews,Accuracy,F1
0,0.6762285840668529,0.8320000000000001,0.7916666666666667
1,0.6318341982241557,0.808,0.7605633802816901
2,0.7048750040836164,0.8420880557977333,0.8057553956834532
0,0.6653633904876732,0.8373333333333333,0.7948717948717949
1,0.6086504213576452,0.792,0.7391304347826089
2,0.6430274681551672,0.8206190061028771,0.7755102040816327
0,0.6276950946613433,0.8146666666666667,0.7682119205298014
1,0.6757702918021073,0.8213333333333334,0.7794117647058822
2,0.7079422057629459,0.8529860505666957,0.8163265306122449
0,0.6973508411348831,0.8373333333333334,0.8
1,0.620495223452812,0.8013333333333333,0.75177304964539
2,0.6979075850043592,0.8489537925021796,0.8108108108108109
0,0.7146459189048197,0.86,0.8235294117647058
1,0.6202298946581168,0.7906666666666666,0.7368421052631579
2,0.6943925327634578,0.8407802964254577,0.8028169014084507
0,0.6702506942994005,0.8360000000000001,0.794701986754967
1,0.47388041209359394,0.7253333333333334,0.6470588235294118
2,0.648921200659819,0.8110287707061901,0.7647058823529411
0,0.6308842267040432,0.8026666666666666,0.7536231884057971
1,0.6276950946613433,0.8146666666666667,0.7682119205298014
2,0.6849049569167726,0.8394725370531821,0.8
0,0.6771799054732439,0.8346666666666667,0.7945205479452055
1,0.6260990336999411,0.78,0.7200000000000001
2,0.6747150351277755,0.8354402789886661,0.7945205479452055
0,0.648972894480372,0.8253333333333333,0.7814569536423841
1,0.620495223452812,0.8013333333333333,0.75177304964539
2,0.6952411947261108,0.8435047951176984,0.8055555555555555
0,0.5637981363555522,0.76,0.6923076923076923
1,0.7306322805705786,0.852,0.8201438848920863
2,0.719485614646905,0.8597428073234525,0.8243243243243243
