,Matthews,Accuracy,F1
0,0.1772297169468335,0.580597934966867,0.42990654205607476
1,0.0643827930638722,0.5281245184157806,0.3333333333333333
2,0.16251163128235152,0.5621442125237192,0.3370786516853933
0,0.05225000097968752,0.5219602404068423,0.30612244897959184
1,0.1444956959888661,0.5647249190938511,0.4
2,0.06053621825291385,0.5260910815939279,0.32323232323232326
0,0.1452809974188065,0.5453844968408075,0.25
1,0.14788197122059665,0.5634150100169517,0.37999999999999995
2,0.133376811380546,0.5569259962049335,0.3673469387755102
0,0.007483900223435036,0.5030050855293573,0.25531914893617025
1,0.0528083730437492,0.5232701494837417,0.3300970873786408
2,-0.09841405256974486,0.4667931688804554,0.12195121951219512
0,0.23254130427205189,0.5956233626136538,0.4166666666666667
1,0.05366644826827729,0.524580058560641,0.35185185185185186
2,0.04112602135600315,0.5166034155597723,0.2795698924731183
0,0.1352782330570417,0.5585606410849129,0.3762376237623762
1,0.13057660081070654,0.5510864539990753,0.32608695652173914
2,0.0035134154318212153,0.5015812776723593,0.30769230769230765
0,0.09524623289114657,0.539605486207428,0.32989690721649484
1,0.1087568539472593,0.5356757589767298,0.24390243902439024
2,0.198963485658223,0.5782732447817837,0.3736263736263736
0,0.07040766019543998,0.5298967483433503,0.32323232323232326
1,0.1598817281693342,0.5607951918631531,0.33333333333333326
2,0.18729124298403024,0.5765338393421885,0.3829787234042554
0,-0.012438299369476663,0.4950685775928494,0.2365591397849462
1,0.07022943932832701,0.5312066574202496,0.34615384615384615
2,0.10160817910439432,0.530202403542062,0.2077922077922078
0,0.005820910057829542,0.502542764678687,0.2941176470588235
1,0.05838945761631211,0.5237324703344121,0.29473684210526313
2,-0.018524557136186944,0.4920936116382037,0.2653061224489796
