,Matthews,Accuracy,F1
0,0.7518262097633642,0.8738178198108512,0.8395061728395061
1,0.7895334494196344,0.8793346606935457,0.855263157894737
2,0.7436190057138998,0.8727865018376211,0.8363636363636364
0,0.7695696671859751,0.8779243404678945,0.8481012658227848
1,0.731670417320748,0.8616226978596317,0.8250000000000001
2,0.749286201002107,0.865519545606415,0.8333333333333334
0,0.7609045501054247,0.8772191803550689,0.8447204968944099
1,0.7695696671859751,0.8779243404678945,0.8481012658227848
2,0.720955049711868,0.8552455730036752,0.8176100628930817
0,0.716688733082228,0.8602123776339804,0.8192771084337348
1,0.7498485193913471,0.865729218516675,0.8333333333333334
2,0.7884269824035861,0.8872368860674908,0.860759493670886
0,0.7136175541850663,0.8548199767711964,0.8148148148148149
1,0.7601511201560485,0.8637381781981085,0.8344370860927153
2,0.7888320691430395,0.8899097895088539,0.8625
0,0.780065221094444,0.8867181018748963,0.857142857142857
1,0.7508895645525043,0.8711216193794591,0.8374999999999999
2,0.7397533671420599,0.8540761777480789,0.8211920529801324
0,0.7498485193913471,0.865729218516675,0.8333333333333334
1,0.8375472340615021,0.9152148664343787,0.8944099378881988
2,0.6806505579190983,0.8308553291012362,0.7870967741935484
0,0.7428694492038287,0.8704164592666335,0.8343558282208587
1,0.7986331013849995,0.8881284221005474,0.864516129032258
2,0.7295557111245371,0.8533244236551955,0.8181818181818181
0,0.7115415296207501,0.8494275759084122,0.810126582278481
1,0.7987229262778898,0.8935208229633317,0.8679245283018868
2,0.7590087135391713,0.8689442031406616,0.8387096774193549
0,0.780065221094444,0.8867181018748963,0.857142857142857
1,0.8082550922294583,0.8969221835075494,0.8734177215189874
2,0.6643038031655735,0.8293518209154694,0.782608695652174
