,Matthews,Accuracy,F1
0,0.5088855346156772,0.7179191639772553,0.5714285714285714
1,0.5400128507259665,0.7487321346242508,0.6122448979591836
2,0.4887431767160768,0.728881233852658,0.5714285714285715
0,0.5522492671901278,0.7856154910096819,0.6371681415929203
1,0.5272684708419733,0.7148839711080375,0.5747126436781609
2,0.5926333080439676,0.7496281218194629,0.6363636363636364
0,0.6001511236253314,0.7539956969417551,0.6444444444444446
1,0.37582614343710696,0.671469187029353,0.4742268041237113
2,0.5378933371246715,0.7518985359743209,0.6122448979591837
0,0.49833107945220206,0.7158444751805747,0.5652173913043478
1,0.5895500672636401,0.7836944828646073,0.6601941747572815
2,0.6071710694820076,0.7790652156893447,0.6666666666666666
0,0.4885396769728898,0.7311741201782695,0.5742574257425743
1,0.6098878392469735,0.7755494083294914,0.6666666666666666
2,0.5179557978306387,0.7098175839661787,0.5647058823529413
0,0.5806582898534819,0.7570308898109728,0.6382978723404256
1,0.5446826795799538,0.7436222529583525,0.6105263157894738
2,0.5286954678605377,0.7498238471776404,0.6060606060606061
0,0.5275524829927909,0.7517673274934686,0.6078431372549019
1,0.5038033631266421,0.7404333794375288,0.5882352941176471
2,0.6076020120900681,0.7590620840836139,0.651685393258427
0,0.524498339765196,0.7271784232365146,0.5869565217391304
1,0.5506656000781899,0.7385123712924543,0.6086956521739131
2,0.5544777814283353,0.7792609410475221,0.6355140186915889
0,0.4930299126318522,0.708659904717996,0.5555555555555555
1,0.5939008058204281,0.7785846011987091,0.6599999999999999
2,0.5286954678605377,0.7498238471776404,0.6060606060606061
0,0.5446826795799538,0.7436222529583525,0.6105263157894738
1,0.5038033631266421,0.7404333794375288,0.5882352941176471
2,0.4726405497491192,0.7015188287794567,0.5393258426966292
