,Matthews,Accuracy,F1
0,0.832965229211493,0.9199836016696482,0.881516587677725
1,0.8793498538961567,0.9421586165772213,0.9142857142857143
2,0.8516283231586878,0.9380799161927567,0.8949771689497716
0,0.8874363905167966,0.9498360166964819,0.92018779342723
1,0.8463441187746557,0.9267292784734645,0.8909952606635071
2,0.8400569896464914,0.9246857228374739,0.8867924528301887
0,0.8785778175313059,0.939288908765653,0.9134615384615384
1,0.8547840284580065,0.9344066785927252,0.897196261682243
2,0.8236892870539145,0.921711313977851,0.8755760368663594
0,0.832965229211493,0.9199836016696482,0.881516587677725
1,0.8631846557560174,0.9181946929039952,0.898989898989899
2,0.8045963606176895,0.9234323555821611,0.8608695652173911
0,0.873101897900981,0.9402206320810973,0.9099526066350712
1,0.8538700477361151,0.9477489564698867,0.8947368421052632
2,0.8400569896464914,0.9246857228374739,0.8867924528301887
0,0.8463522496163643,0.9429412641621944,0.8898678414096917
1,0.8525187137149018,0.9286672629695886,0.8952380952380953
2,0.853415309321515,0.9314389404369949,0.8962264150943395
0,0.8176882566653582,0.9341830649970184,0.8680851063829788
1,0.8012959845134755,0.8921437090041742,0.8557213930348259
2,0.8400569896464914,0.9246857228374739,0.8867924528301887
0,0.8273789997053979,0.9275864639236733,0.8778280542986426
1,0.8534847434422891,0.9410778175313059,0.8959276018099548
2,0.853415309321515,0.9314389404369949,0.8962264150943395
0,0.8256875735336469,0.9151759093619558,0.8761904761904762
1,0.8386912450495786,0.9314624329159213,0.8858447488584474
2,0.7925924521988137,0.8996183777312182,0.8530805687203792
0,0.8318594666930187,0.9171138938580798,0.8803827751196172
1,0.8534847434422891,0.9410778175313059,0.8959276018099548
2,0.8606603492411754,0.9362466327446872,0.9014084507042254
