,Matthews,Accuracy,F1
0,0.7342817701847177,0.8536637931034483,0.8187919463087248
1,0.7318997305089351,0.8521606285464862,0.8163265306122449
2,0.7426409457978985,0.8642514185945003,0.8289473684210525
0,0.7471879856039457,0.8487068965517242,0.8169014084507041
1,0.6353609476105279,0.8147970318638149,0.7612903225806452
2,0.8125147454901747,0.8999127018769096,0.8758169934640523
0,0.7242349947811555,0.8502155172413792,0.8133333333333334
1,0.7444586945783379,0.8700130947184636,0.8333333333333334
2,0.7318997305089351,0.8521606285464862,0.8163265306122449
0,0.7374457261411478,0.8676724137931034,0.8301886792452831
1,0.7722920834119111,0.8745962461807071,0.8456375838926175
2,0.6706654234803955,0.8199476211261458,0.7724137931034484
0,0.7053135335334723,0.8461206896551724,0.8051948051948051
1,0.7421863145911567,0.8556089044085553,0.8219178082191781
2,0.7523722504904998,0.8676996944565691,0.8344370860927153
0,0.7966405132975951,0.8771551724137931,0.8551724137931034
1,0.7731409042850398,0.8688345700567438,0.8413793103448275
2,0.6764464591427226,0.8372326494980358,0.7898089171974522
0,0.7543012958537278,0.8661637931034483,0.8344370860927152
1,0.7529196888464945,0.8705805325185508,0.8366013071895425
2,0.6923539513060725,0.8383675250982103,0.7947019867549668
0,0.7245075966520234,0.8530172413793103,0.8157894736842106
1,0.7420170449396222,0.8584897424705369,0.8243243243243245
2,0.7217793951080776,0.8487123526844174,0.8108108108108109
0,0.6841235181471222,0.8308189655172413,0.7866666666666667
1,0.7013738107324555,0.836054124836316,0.7945205479452054
2,0.8028011788143103,0.8964644260148407,0.8701298701298702
0,0.744490628969952,0.8571120689655172,0.8243243243243242
1,0.7421735045517613,0.8613705805325185,0.8266666666666665
2,0.7020124065883371,0.8418158009602794,0.8
