,Matthews,Accuracy,F1
0,0.820459524730871,0.9082094376212023,0.8633093525179856
1,0.8324855410092529,0.9202327084680026,0.8732394366197184
2,0.0,0.5,0.0
0,0.8511175431961235,0.9296380090497738,0.8873239436619719
1,0.8916884810656074,0.9582094376212024,0.9178082191780822
2,0.8667325428194993,0.9333662714097497,0.8985507246376812
0,0.8582669232576617,0.9270200387847447,0.8920863309352518
1,0.8714405808859329,0.943923723335488,0.9027777777777779
2,0.8565389153740873,0.9261198945981555,0.8905109489051095
0,0.8101860103054217,0.9010665804783452,0.855072463768116
1,0.9247575953458307,0.9623787976729152,0.9428571428571428
2,0.8430114454829866,0.9315217391304347,0.881118881118881
0,0.8899035738992425,0.9533290239172592,0.9166666666666667
1,0.8683257918552036,0.9341628959276018,0.9
2,0.8667325428194993,0.9333662714097497,0.8985507246376812
0,0.8197081787653726,0.932967032967033,0.8627450980392157
1,0.8683257918552036,0.9341628959276018,0.9
2,0.8936449804448658,0.9302371541501977,0.9160305343511451
0,0.7912714388742927,0.9164188752424046,0.8421052631578947
1,0.8871363930187459,0.943568196509373,0.9142857142857143
2,0.8545906057223904,0.9161725955204216,0.887218045112782
0,0.9070135497567356,0.9578539107950872,0.9295774647887323
1,0.877170622521057,0.9364253393665158,0.9064748201438848
2,0.8011240708461554,0.902536231884058,0.8489208633093526
0,0.8815730327060495,0.9510665804783451,0.9103448275862068
1,0.830704589528119,0.9153522947640595,0.8714285714285714
2,0.9330759012419426,0.9641963109354413,0.9489051094890512
0,0.8324855410092529,0.9202327084680026,0.8732394366197184
1,0.8798356948078798,0.946186166774402,0.9090909090909091
2,0.913414297286164,0.949703557312253,0.9333333333333332
