,Matthews,Accuracy,F1
0,0.3308556593567209,0.655241935483871,0.4736842105263158
1,0.4238659417061388,0.6944354838709678,0.5405405405405406
2,0.4770583290748696,0.7411249797373967,0.6031746031746031
0,0.39528853542482606,0.6930645161290323,0.5333333333333333
1,0.47642401309425003,0.7445161290322581,0.6046511627906976
2,0.4969023840263741,0.7314799805479008,0.6017699115044248
0,0.4418565993014607,0.7289516129032259,0.5801526717557252
1,0.34169677395475506,0.6516129032258065,0.4672897196261682
2,0.35667210962875645,0.6477954287566867,0.46
0,0.36383228828780656,0.6362903225806451,0.4347826086956521
1,0.48846326435937704,0.7291935483870968,0.5964912280701755
2,0.3379666950179383,0.6574404279461825,0.4778761061946903
0,0.25650781777915194,0.6026612903225806,0.37113402061855677
1,0.46594789221614047,0.7186290322580645,0.5789473684210527
2,0.35883097159244415,0.6563867725725401,0.4761904761904762
0,0.3408275137212325,0.6312903225806451,0.425531914893617
1,0.3398914582578438,0.6546774193548387,0.4727272727272728
2,0.41256341298080745,0.6830928837737072,0.5233644859813085
0,0.22168900999230884,0.5865322580645161,0.3368421052631579
1,0.5034397429032141,0.7458870967741935,0.6166666666666667
2,0.42878708873704446,0.699748743718593,0.5486725663716814
0,0.2552149067306052,0.6057258064516129,0.38
1,0.3667601652734196,0.6220967741935484,0.39999999999999997
2,0.36724516703355636,0.673569460204247,0.5043478260869565
0,0.0,0.5,0.0
1,0.29521624669709934,0.6274193548387097,0.4230769230769231
2,0.2959731494878541,0.6124979737396661,0.3870967741935484
0,0.43502741054589567,0.7264516129032258,0.5757575757575757
1,0.3449774894923636,0.6663709677419355,0.4915254237288136
2,0.4812199181161743,0.7350461987356136,0.6000000000000001
