,Matthews,Accuracy,F1
0,0.3498964803312629,0.6687000887311447,0.5433526011560693
1,0.14185987312303813,0.562888198757764,0.36129032258064514
2,0.33349403399752386,0.6600732600732601,0.5294117647058825
0,0.3064371297431885,0.6254436557231589,0.44755244755244755
1,0.21943311461287218,0.6009316770186335,0.4320987654320988
2,0.3268851581384327,0.6575091575091575,0.5263157894736842
0,0.2714160711985237,0.6216725820763088,0.45859872611464975
1,0.3232878750699198,0.65527950310559,0.5232558139534884
2,0.19462891697798748,0.5926739926739927,0.4285714285714286
0,0.22886139222155086,0.6031499556344277,0.43037974683544306
1,0.21698743599056874,0.5944986690328306,0.40789473684210525
2,0.327764851364149,0.6608058608058609,0.5340909090909091
0,0.34301393852631723,0.6475155279503106,0.49333333333333335
1,0.2556224308877155,0.631100266193434,0.5051546391752577
2,0.32530002431617777,0.6611721611721612,0.5363128491620112
0,0.30544346572448855,0.6582741792369122,0.542713567839196
1,0.21287887519373758,0.6058118899733806,0.46153846153846156
2,0.3368025695857737,0.6597069597069597,0.5269461077844311
0,0.3304075263850781,0.6610470275066549,0.5340909090909092
1,0.33683257515371245,0.6635980479148181,0.5371428571428571
2,0.33701243175888185,0.663003663003663,0.5348837209302326
0,0.271198909167956,0.6352040816326531,0.5027322404371585
1,0.3598298253320039,0.6741348713398403,0.5517241379310345
2,0.29095729490951366,0.6417582417582418,0.5057471264367817
0,0.19362819594543332,0.5907275953859805,0.4216867469879519
1,0.34990501740368085,0.6324312333629104,0.4477611940298507
2,0.24751074797263325,0.6285714285714286,0.5050505050505051
0,0.2749060261696038,0.6245563442768411,0.46540880503144655
1,0.3533075065915658,0.6683673469387755,0.5411764705882353
2,0.24937069567766476,0.6062271062271063,0.4217687074829932
