,Matthews,Accuracy,F1
0,0.9251474489523652,0.9705634987384357,0.9467455621301775
1,0.8719038014548204,0.9375150929727118,0.9090909090909091
2,0.9225983767187727,0.9596112050229413,0.9447852760736196
0,0.9509346758453148,0.9852216748768473,0.9647058823529412
1,0.9049690401701308,0.9474160830717218,0.9316770186335404
2,0.9053897901570932,0.951038396522579,0.9325153374233128
0,0.8794046245486351,0.9364411870719693,0.9135802469135802
1,0.9070064492496763,0.9582830234242936,0.9341317365269461
2,0.9570155498421316,0.9767568220236658,0.9693251533742332
0,0.9173805861318178,0.9681004445512436,0.9411764705882352
1,0.9569885801934037,0.9731345085728085,0.968944099378882
2,0.8876291934957065,0.9388432745713595,0.9192546583850932
0,0.8981437116123235,0.9522708158116064,0.9277108433734941
1,0.9060725167319238,0.9546607099734363,0.9333333333333333
2,0.9225983767187727,0.9596112050229413,0.9447852760736196
0,0.9071416926597078,0.9583683767872162,0.9341317365269461
1,0.9490706202097554,0.9779038879497706,0.963855421686747
2,0.8799806809949288,0.9399903404974643,0.9146341463414634
0,0.9579677835656087,0.9840502222756218,0.9700598802395209
1,0.8965092923499974,0.9449408355469693,0.925925925925926
2,0.8900396575498405,0.9497102149239314,0.9221556886227545
0,0.8929991725389069,0.9570767752012495,0.9239766081871345
1,0.9485631489978266,0.9742815744989133,0.9634146341463414
2,0.8873376457294164,0.931598647669645,0.9171974522292994
0,0.9224161244517737,0.9560254715847651,0.9440993788819876
1,0.9397793346208971,0.960939386621589,0.9559748427672956
2,0.9004563597610243,0.9594300893503984,0.9294117647058824
0,0.9232670584457593,0.9632944851616003,0.9454545454545454
1,0.8809715661067815,0.9436126539483216,0.9156626506024096
2,0.9060725167319238,0.9546607099734363,0.9333333333333333
