,Matthews,Accuracy,F1
0,0.8501066914710025,0.9172239249558838,0.8936170212765957
1,0.8899173411454385,0.9487101739982273,0.9238578680203046
2,0.8457869147262292,0.9264589261557121,0.8934010152284264
0,0.86318652112727,0.9397928856691744,0.9054726368159204
1,0.893459202980207,0.9573867612072584,0.9261083743842364
2,0.8742971327343226,0.9384008956477119,0.9128205128205128
0,0.7914840086192101,0.8934011330918548,0.8541666666666666
1,0.8644821477484165,0.9425525959789149,0.9064039408866995
2,0.9105785359026228,0.9526053085786257,0.9374999999999999
0,0.9335563569542937,0.9681201820377079,0.9538461538461539
1,0.8258168379805101,0.9196715958389701,0.88
2,0.8890889229135902,0.9458179782618836,0.923076923076923
0,0.8222346057397604,0.9111173028698802,0.8762886597938144
1,0.9182008422219334,0.9577599477538834,0.9430051813471502
2,0.8977345926169464,0.953864813173485,0.9292929292929293
0,0.8954879141415076,0.9423469861614191,0.9263157894736843
1,0.8807342715978526,0.9377711433502822,0.9166666666666665
2,0.9055577019012647,0.9590194523487429,0.9346733668341709
0,0.8814897371598402,0.9407448685799201,0.9175257731958762
1,0.9186725032721255,0.9606521434902271,0.9435897435897437
2,0.9270762443413093,0.9686989784018286,0.9494949494949495
0,0.9213368828272012,0.9694204513792142,0.9452736318407959
1,0.8516583477165648,0.9258291738582825,0.8969072164948453
2,0.86735467352473,0.9361384522087979,0.9081632653061225
0,0.8764681914109062,0.9442973901736789,0.914572864321608
1,0.8752071990057021,0.9412930913840556,0.9137055837563451
2,0.904627483285175,0.9561272566123991,0.9340101522842639
0,0.8822693894521242,0.9436472555029256,0.9183673469387756
1,0.8762927273886019,0.9441852871203993,0.914572864321608
2,0.8879937113187559,0.9400335867891962,0.9214659685863875
