,Matthews,Accuracy,F1
0,0.2609254463633324,0.626590133416072,0.4780876494023904
1,0.26599529519195697,0.6023760518979756,0.3917525773195876
2,0.26072497496565233,0.6232967720084412,0.4666666666666667
0,0.32336934141948187,0.6455683110973214,0.4933920704845815
1,0.22038673146836157,0.5836959070421801,0.35416666666666663
2,0.23337424941074641,0.5992757210223276,0.4056603773584906
0,0.3096427339496253,0.6478177681249353,0.5061224489795918
1,0.30346990101169363,0.6239741552249694,0.4411764705882353
2,0.371534048519327,0.6650600526274653,0.5225225225225225
0,0.25604526944050215,0.602027096907643,0.3980099502487562
1,0.19460420892532102,0.5772737930854805,0.3517587939698492
2,0.3093686537451022,0.650418153870203,0.512
0,0.273961358673105,0.6288783741855414,0.47500000000000003
1,0.14719650495193676,0.5623192559205898,0.3412322274881517
2,0.30199430185551157,0.6336268660604956,0.4705882352941176
0,0.3283985847403826,0.6472747957389595,0.49557522123893805
1,0.2864142601528427,0.64601516296277,0.5147058823529411
2,0.3072979576096456,0.6281947737279525,0.4519230769230769
0,0.39488040133330565,0.6809907953252663,0.5517241379310344
1,0.3748155101094199,0.6579214756532841,0.5047619047619047
2,0.2064052756804036,0.6011124716671443,0.4426877470355732
0,0.3096427339496253,0.6478177681249353,0.5061224489795918
1,0.2837823648056078,0.6372612875491754,0.49193548387096775
2,0.33565598121620355,0.6531146601359977,0.5065502183406113
0,0.23283002574090822,0.5882071568931637,0.3626943005181347
1,0.2396776126741322,0.5934398040799312,0.3775510204081633
2,0.3435211694761704,0.6757418648881015,0.5547445255474454
0,0.25013738576942157,0.6126021305202193,0.44052863436123346
1,0.2731363186676648,0.5863924133079749,0.32748538011695905
2,0.26653205896869187,0.6275173905114243,0.4754098360655738
