,Matthews,Accuracy,F1
0,0.288627729717295,0.6321760136415309,0.45962732919254656
1,0.19371398282049707,0.5677576733611216,0.2992125984251969
2,0.280143040518535,0.6195471195471196,0.4295302013422819
0,0.25089160555355,0.6227974611595302,0.45454545454545453
1,0.23711250252649207,0.5921040166729822,0.36496350364963503
2,0.29220734656256225,0.6351981351981352,0.4662576687116565
0,0.0,0.5,0.0
1,0.27176364064269204,0.5962012125805229,0.359375
2,0.3052333673759518,0.6293706293706294,0.4459459459459459
0,0.23260963672668003,0.5842411898446381,0.3384615384615385
1,0.16065163197898497,0.5743179234558545,0.3680981595092025
2,0.33732551278366285,0.6458541458541458,0.4768211920529801
0,0.29909295917305107,0.6376705191360363,0.4691358024691358
1,0.26049637871489534,0.6133241758241759,0.42105263157894746
2,0.3749073906809741,0.6566766566766566,0.49315068493150693
0,0.1817882389266424,0.573678476695718,0.3380281690140845
1,0.33416031225408355,0.6760136415308828,0.5373134328358209
2,0.224436026060685,0.5864135864135864,0.3529411764705882
0,0.2929916506122356,0.6298076923076923,0.4516129032258065
1,0.34895036110642225,0.6606195528609322,0.5061728395061728
2,0.1669356040891478,0.5702630702630702,0.3401360544217687
0,0.33496623852618485,0.6517857142857143,0.490566037735849
1,0.30362183742326737,0.6353021978021978,0.46153846153846156
2,0.26647175210764235,0.6152181152181152,0.423841059602649
0,0.2607576226878064,0.6030930276619931,0.3884892086330935
1,0.20666041256466025,0.5915593027661993,0.38709677419354843
2,0.2832722154879624,0.6183816183816184,0.4246575342465754
0,0.0,0.5,0.0
1,0.28864973682735134,0.6390678287230012,0.4767441860465117
2,0.32748939109405056,0.6358641358641358,0.4551724137931034
