,Matthews,Accuracy,F1
0,0.9390166506969432,0.976984126984127,0.9534883720930233
1,0.8729254621845112,0.9327719801137636,0.9024390243902438
2,0.859386355957095,0.9332198683208671,0.8928571428571428
0,0.8607696512042492,0.9338624338624338,0.8941176470588236
1,0.9532102889517388,0.9805168629909975,0.9642857142857143
2,0.8638416332091565,0.9225825234021588,0.8944099378881989
0,0.9138280323318994,0.9550264550264551,0.9341317365269461
1,0.8710413985742395,0.9475746853585345,0.9017341040462428
2,0.8721861522658313,0.928606619787701,0.9012345679012346
0,0.8929251512034992,0.9535714285714285,0.9186046511627907
1,0.865458436621163,0.930913244054284,0.896969696969697
2,0.8896403457696959,0.944820172884848,0.9156626506024096
0,0.9063492063492063,0.9531746031746031,0.9285714285714286
1,0.90739277108329,0.9610337259819949,0.9294117647058823
2,0.9040456107425172,0.9402069243516817,0.9249999999999999
0,0.8917363642658654,0.9494708994708995,0.9176470588235294
1,0.9042682386441764,0.9443722846777445,0.9259259259259259
2,0.8979759296120985,0.9508442692703901,0.9221556886227544
0,0.8652378447738709,0.9234126984126985,0.8957055214723927
1,0.9284246147641729,0.9499484928561831,0.9433962264150944
2,0.8683949963062205,0.9540466699511803,0.898876404494382
0,0.9056869825771442,0.9490740740740741,0.9277108433734941
1,0.8834578553180831,0.947126797151431,0.9112426035502958
2,0.9124532631033052,0.9503963810632865,0.9325153374233127
0,0.8824816056414447,0.9394179894179895,0.9101796407185628
1,0.8906610002886429,0.9489855332109105,0.9166666666666667
2,0.8896403457696959,0.944820172884848,0.9156626506024096
0,0.9227030773274817,0.965079365079365,0.9411764705882352
1,0.8834578553180831,0.947126797151431,0.9112426035502958
2,0.8713831377270435,0.9202758991355757,0.8987341772151898
