,Matthews,Accuracy,F1
0,0.6461450360574654,0.8240047089041096,0.7755102040816327
1,0.770849311516089,0.8929996764103116,0.8571428571428571
2,0.5649067166069812,0.7861611476647611,0.728476821192053
0,0.44867814338264894,0.7163955479452055,0.6323529411764707
1,0.5683099446947414,0.767824398662496,0.7022900763358779
2,0.7015581318776831,0.8596160069032466,0.8152866242038217
0,0.6540128646916342,0.832833904109589,0.7843137254901962
1,0.5348647027451824,0.76663790313882,0.703448275862069
2,0.6167249033951578,0.8116708014237946,0.7600000000000001
0,0.5815542068345745,0.7779858732876712,0.7164179104477612
1,0.5740375939371092,0.7900981555387768,0.7333333333333334
2,0.6227514610807213,0.8174954158127494,0.7662337662337663
0,0.617863674908762,0.8122859589041096,0.7600000000000001
1,0.6741525919127007,0.843005069571783,0.7973856209150326
2,0.595901852546041,0.7931722575773918,0.7375886524822695
0,0.4837328767123288,0.7418664383561644,0.6712328767123288
1,0.5997754676414424,0.7989968719663467,0.7448275862068966
2,0.6979829576097508,0.8489914788048754,0.8082191780821918
0,0.6391437637807053,0.8230415239726028,0.7733333333333333
1,0.5861998457666865,0.7969474706072699,0.7417218543046357
2,0.5128488028034521,0.7452270520979398,0.6716417910447762
0,0.6890435173943937,0.845515839041096,0.802721088435374
1,0.5227443244287943,0.7597885880703268,0.6944444444444443
2,0.7138727409580288,0.870240535001618,0.8214285714285715
0,0.505244006849315,0.7526220034246576,0.684931506849315
1,0.6963774818060148,0.8460791716103979,0.8055555555555557
2,0.6074929749263918,0.8077337935497788,0.7549668874172185
0,0.5817973140520729,0.7917380136986301,0.7346938775510203
1,0.5792038773360371,0.7978103764426707,0.7421383647798743
2,0.6569875872110505,0.830331140114335,0.7837837837837838
