,Matthews,Accuracy,F1
0,0.9780896099214943,0.9827586206896552,0.9824561403508771
1,0.9890443934730819,0.9913793103448276,0.9913043478260869
2,0.9665517530381054,0.9801305589555284,0.9734513274336283
0,0.9781289910600255,0.9890644955300127,0.9827586206896551
1,0.9890443934730819,0.9913793103448276,0.9913043478260869
2,0.9666081113597189,0.9736842105263157,0.972972972972973
0,0.9670438600858955,0.9804438058748404,0.9739130434782608
1,0.9670118255891038,0.9804330392943064,0.9739130434782608
2,0.9888921742504069,0.9912280701754386,0.9911504424778761
0,0.9560892129252898,0.9655172413793103,0.9642857142857143
1,0.9781074578989575,0.9890537289494787,0.9827586206896551
2,1.0,1.0,1.0
0,0.9116222108345673,0.9499521072796935,0.9298245614035087
1,0.9670118255891038,0.9804330392943064,0.9739130434782608
2,0.9678554572075891,0.9930232558139536,0.9743589743589743
0,0.9890549929703892,0.9913793103448276,0.9913043478260869
1,0.9670118255891038,0.9804330392943064,0.9739130434782608
2,0.9777622819264197,0.9824561403508771,0.9821428571428572
0,0.955933810225852,0.971823116219668,0.9649122807017544
1,0.9890443934730819,0.9913793103448276,0.9913043478260869
2,0.9888921742504069,0.9912280701754386,0.9911504424778761
0,1.0,1.0,1.0
1,0.9670118255891038,0.9804330392943064,0.9739130434782608
2,0.9777622819264197,0.9824561403508771,0.9821428571428572
0,0.9005745292637476,0.9224137931034483,0.9158878504672897
1,0.9781074578989575,0.9890537289494787,0.9827586206896551
2,0.9888921742504069,0.9912280701754386,0.9911504424778761
0,0.936854346584566,0.9798052362707534,0.95
1,0.9682729062057392,0.9930232558139536,0.9747899159663865
2,0.9777622819264197,0.9824561403508771,0.9821428571428572
