,Matthews,Accuracy,F1
0,0.8946911071724225,0.9410871636103835,0.9276315789473685
1,0.8608430452981082,0.9203084067635152,0.903010033444816
2,0.847633158724297,0.9252153876978562,0.8974358974358975
0,0.8309037616936091,0.9194153369849964,0.8867924528301887
1,0.8657630962817094,0.9218563943796142,0.906040268456376
2,0.8844219358142761,0.9359647365257463,0.9205298013245032
0,0.851666921918753,0.9221838532984044,0.8990228013029317
1,0.8900205585096507,0.9411963165833135,0.9250814332247558
2,0.8650336705730697,0.9264075335604087,0.9072847682119205
0,0.8428963723637869,0.9207450186552354,0.8938906752411575
1,0.8364990695285559,0.9075970469159323,0.8859060402684563
2,0.8795572351108635,0.9310659186535765,0.9163879598662208
0,0.8610299060614426,0.9252798285306025,0.9049180327868852
1,0.8947525819853093,0.9427443041994126,0.9281045751633987
2,0.8608108676878261,0.9282007613704668,0.9055374592833876
0,0.8374691013955056,0.915882749861078,0.8896103896103896
1,0.875754773373597,0.9348952131459871,0.9155844155844156
2,0.8746759305439178,0.9295131236225205,0.9133333333333333
0,0.8335286763461845,0.9243867587520839,0.888888888888889
1,0.8520047184463121,0.9238409938874336,0.8996763754045308
2,0.8698349789835774,0.9279603285914646,0.9102990033222592
0,0.88184869811971,0.9430717631182028,0.9206349206349206
1,0.8474330627959046,0.9222930062713345,0.8967741935483873
2,0.8362308986727536,0.9137447405329593,0.8881578947368421
0,0.8669127570056363,0.9334563785028182,0.9102564102564102
1,0.8947150385369619,0.9394300230213544,0.9271523178807948
2,0.8844796194000202,0.9326187136846323,0.9194630872483223
0,0.8665096159871182,0.9317992379137889,0.9096774193548387
1,0.8374691013955056,0.915882749861078,0.8896103896103896
2,0.8803448467486692,0.9394309757563615,0.919093851132686
