,Matthews,Accuracy,F1
0,0.7646033685329822,0.8937225360954175,0.8165680473372782
1,0.7548480310941803,0.875724363819602,0.8074534161490683
2,0.8102949260179165,0.9172335600907029,0.8520710059171598
0,0.8039987498968416,0.9156308851224105,0.8470588235294118
1,0.7095744096157619,0.8448601662887377,0.7692307692307692
2,0.7950040344490398,0.9093600403124213,0.8402366863905325
0,0.7620051351160698,0.8892446118434818,0.8143712574850299
1,0.758153365116383,0.8919123204837491,0.8117647058823529
2,0.8370724525654145,0.9240362811791383,0.8727272727272727
0,0.7951614963570045,0.9094580456162378,0.8402366863905325
1,0.7926524405967941,0.9048878810783573,0.8383233532934131
2,0.7904440851096762,0.9004157218442933,0.8363636363636364
0,0.7750698407335214,0.8926344423519564,0.8242424242424242
1,0.7503723319520091,0.878495842781557,0.8048780487804877
2,0.7789629931982412,0.9087301587301587,0.8275862068965517
0,0.8612841639756897,0.93814605566018,0.8915662650602408
1,0.7850530844666872,0.9104308390022675,0.8323699421965318
2,0.7528356862746309,0.8829680020156211,0.8072289156626505
0,0.7994201120811657,0.9066750366185394,0.8433734939759034
1,0.7683133936404746,0.8908415217939027,0.8192771084337349
2,0.805986874261589,0.908289241622575,0.8484848484848484
0,0.7907214784793091,0.8842854153588617,0.8333333333333334
1,0.7926524405967941,0.9048878810783573,0.8383233532934131
2,0.7760326971831484,0.9115016376921139,0.824858757062147
0,0.8039987498968416,0.9156308851224105,0.8470588235294118
1,0.7554312335496336,0.8874401612496851,0.8095238095238094
2,0.8240513123657714,0.9044469639707735,0.860759493670886
0,0.7976500721504198,0.9139359698681733,0.8421052631578948
1,0.7972003606559538,0.9021164021164021,0.8414634146341464
2,0.803847275742973,0.9155328798185941,0.8470588235294118
