,Matthews,Accuracy,F1
0,0.13483252463362205,0.5558358662613982,0.3424657534246575
1,0.2361119743609857,0.5991793313069909,0.4189189189189189
2,0.23322598682992368,0.6052824651504035,0.44999999999999996
0,0.23105307646214365,0.5942553191489361,0.4027777777777778
1,0.21761606540883224,0.579483282674772,0.34848484848484845
2,0.11595941304804155,0.5512350207874785,0.3589743589743589
0,0.23332218152467296,0.6012462006079027,0.4313725490196078
1,0.1728445766172637,0.5631306990881458,0.3181818181818182
2,0.18150648802824995,0.5746515040352165,0.37241379310344835
0,0.19771475838161304,0.5737689969604863,0.34328358208955223
1,0.18111470000782368,0.577112462006079,0.3866666666666667
2,0.1358433549069679,0.5448764979212521,0.25806451612903225
0,0.09852387929207074,0.5398784194528876,0.30769230769230765
1,0.2958837135585976,0.6068693009118541,0.39694656488549623
2,0.14547337963026147,0.5607116654438739,0.35374149659863946
0,0.1435732363343656,0.5500303951367781,0.28125
1,0.2344100924069942,0.605775075987842,0.44999999999999996
2,0.22086709234728905,0.5841281486916117,0.3676470588235294
0,0.20147751615991547,0.593951367781155,0.44311377245508987
1,0.20126015238231035,0.5692401215805472,0.3149606299212599
2,0.260784136000957,0.5931768158473955,0.36923076923076914
0,0.24707834849149762,0.6044984802431611,0.42953020134228187
1,0.15088116086289613,0.5615501519756838,0.3472222222222222
2,0.16310852204977738,0.5644411836634874,0.3428571428571428
0,0.11872427832375293,0.5480547112462006,0.32167832167832167
1,0.15457664500729887,0.5640121580547113,0.3561643835616438
2,0.2702182822931092,0.6102959158718513,0.4305555555555555
0,0.28618540130332065,0.608936170212766,0.4117647058823529
1,0.23332218152467296,0.6012462006079027,0.4313725490196078
2,0.14925215819684132,0.5631572511616532,0.36241610738255037
