,Matthews,Accuracy,F1
0,0.6231488004096387,0.7696220930232558,0.6545454545454547
1,0.720673011189799,0.8696947674418605,0.7575757575757576
2,0.0,0.5,0.0
0,0.6485497684720485,0.8557412790697674,0.6944444444444444
1,0.7890978610039037,0.8414244186046511,0.8
2,0.7585422087240401,0.9117990654205608,0.7887323943661971
0,0.7955905195576445,0.8813226744186047,0.8196721311475409
1,0.6948266717546702,0.8650436046511628,0.7352941176470588
2,0.7954742499140102,0.8812792056074766,0.8196721311475409
0,0.7272323830502609,0.8587209302325581,0.7619047619047619
1,0.7898926941420313,0.8547238372093023,0.8070175438596492
2,0.6987695371576876,0.8539719626168225,0.7384615384615384
0,0.7766378512151426,0.9032703488372094,0.8059701492537314
1,0.7486918604651163,0.8743459302325581,0.78125
2,0.0,0.5,0.0
0,0.0,0.5,0.0
1,0.0,0.5,0.0
2,0.831387776727262,0.9367698598130841,0.8529411764705882
0,0.8248282062147498,0.9478197674418605,0.8450704225352113
1,0.6231488004096387,0.7696220930232558,0.6545454545454547
2,0.7580007406304318,0.8633177570093458,0.7868852459016394
0,0.0,0.5,0.0
1,0.6412198594485984,0.7719476744186047,0.6666666666666666
2,0.7580007406304318,0.8633177570093458,0.7868852459016394
0,0.6409883720930233,0.8204941860465116,0.6875
1,0.7535103199341592,0.8500726744186047,0.7796610169491525
2,0.8043954755998916,0.9320969626168225,0.8285714285714286
0,0.7099486271667879,0.8188226744186047,0.736842105263158
1,0.6468258823026076,0.7852470930232558,0.6785714285714286
2,0.7204981599121787,0.8695969626168225,0.7575757575757576
