,Matthews,Accuracy,F1
0,0.9430698186205154,0.9695488076857093,0.9651162790697674
1,0.9336283593615825,0.9677210267046927,0.96
2,0.9715807316933541,0.9867340765707372,0.9828571428571428
0,0.9241722422370904,0.9620861211185452,0.9540229885057472
1,0.9433558863573672,0.9734681531414744,0.9659090909090908
2,0.9524159146386885,0.975239823697174,0.9710982658959537
0,0.9716652685583441,0.9867901869960543,0.9828571428571428
1,0.888679096301456,0.9489240342234897,0.9333333333333333
2,0.952574367646706,0.9732520957566329,0.9707602339181286
0,0.9435257310634938,0.9735803739921085,0.9659090909090908
1,0.8988012159988524,0.9546711606602714,0.9392265193370166
2,0.9239478005358223,0.9619739002679111,0.9540229885057472
0,0.9527092577374336,0.9732801509692914,0.9707602339181286
1,0.915316371108737,0.9602022297122116,0.9491525423728815
2,0.9622970468026187,0.9829746780744966,0.9772727272727273
0,0.9431291816778178,0.971564590838909,0.9655172413793104
1,0.9622970468026187,0.9829746780744966,0.9772727272727273
2,0.8964084272924063,0.9506957047791893,0.9378531073446328
0,0.9435257310634938,0.9735803739921085,0.9659090909090908
1,0.9715807316933541,0.9867340765707372,0.9828571428571428
2,0.9143123501323216,0.9562267738311295,0.9479768786127168
0,0.9442521571924113,0.975596157145308,0.9662921348314606
1,0.8856582730055936,0.9389853945207847,0.9294117647058823
2,0.9054735654668642,0.9544551032754299,0.9431818181818182
0,0.8770670199453953,0.9393978383942356,0.9257142857142858
1,0.9433558863573672,0.9734681531414744,0.9659090909090908
2,0.9429608504018667,0.9714804252009334,0.9655172413793104
0,0.9431291816778178,0.971564590838909,0.9655172413793104
1,0.9336283593615825,0.9677210267046927,0.96
2,0.8988012159988524,0.9546711606602714,0.9392265193370166
