,Matthews,Accuracy,F1
0,0.5900698849478538,0.8068612033315861,0.7454545454545455
1,0.6784370542397403,0.8441893158388003,0.7960199004975124
2,0.687814221342187,0.8534442361761949,0.8038277511961722
0,0.6229591588514567,0.8154813908789096,0.7600000000000001
1,0.6100162090674036,0.8134664948453608,0.7559808612440192
2,0.6809085216663604,0.8523898781630741,0.8
0,0.6347255727092981,0.8188013279748384,0.7653061224489796
1,0.6780019570224144,0.8518626991565136,0.798165137614679
2,0.6159547261138377,0.8180939550140581,0.7605633802816901
0,0.6901885541923938,0.8520589434445803,0.8039215686274509
1,0.7257175126657399,0.8681759606373008,0.8258706467661692
2,0.5761315150633335,0.7987347703842549,0.7373271889400921
0,0.49174272240317496,0.7469858465839595,0.673469387755102
1,0.6020427920241378,0.8065253045923149,0.7487684729064039
2,0.7151760911762938,0.8689081537019682,0.8207547169811321
0,0.6366505752219678,0.8211311083930339,0.7676767676767676
1,0.6515311346963868,0.8328256794751641,0.7804878048780487
2,0.5706348649798821,0.7905342080599813,0.7290640394088669
0,0.6419347571839819,0.8299551517269497,0.7751196172248803
1,0.6922806109743077,0.8498711340206185,0.8040201005025125
2,0.560711524513109,0.7907392221180881,0.728110599078341
0,0.6264104744418449,0.8219756537946299,0.7655502392344499
1,0.6558840803814684,0.8333528584817245,0.7821782178217821
2,0.6996756884380334,0.8609126054358013,0.8113207547169811
0,0.5975822626029775,0.7958529908556118,0.736842105263158
1,0.6293298893588647,0.8219892221180881,0.7669902912621359
2,0.6871120500941366,0.855230787253983,0.8037383177570093
0,0.6613470349040522,0.8342652455006117,0.7839195979899498
1,0.6407154164864939,0.8312441424554826,0.7757009345794392
2,0.6191106405443803,0.8204076850984068,0.7627906976744186
