,Matthews,Accuracy,F1
0,0.8932392088875635,0.9539204286942016,0.9259259259259259
1,0.9305097487860914,0.9719383226395475,0.9516728624535316
2,0.9352654073094655,0.9735113723485816,0.9548872180451128
0,0.906485474185118,0.9502426570951923,0.9343629343629344
1,0.9350475570212585,0.9714437878826304,0.9548872180451129
2,0.925090317593571,0.970189113212369,0.9477611940298507
0,0.9363144486078347,0.975810120823012,0.9555555555555555
1,0.8961376908569513,0.9603104156628033,0.927536231884058
2,0.9175847132050319,0.9597878865320726,0.9425287356321839
0,0.907688850573817,0.9567261513573632,0.9358490566037737
1,0.9254684084084617,0.9702771930714412,0.9481481481481483
2,0.9301546331918554,0.9718502427804754,0.951310861423221
0,0.9090026706062935,0.961048480865477,0.9368029739776952
1,0.9298878273664651,0.9697826583145241,0.951310861423221
2,0.9456298542257315,0.9768336314847943,0.962121212121212
0,0.8855944350623111,0.9549314999241696,0.9202898550724637
1,0.9455121835446638,0.9747660470188431,0.962121212121212
2,0.9071081044498035,0.9564656273958599,0.935361216730038
0,0.9263367636157351,0.9724988625448663,0.9485294117647058
1,0.934264918465167,0.9671324592325835,0.9541984732824428
2,0.9295239390769228,0.9696652185024278,0.9509433962264151
0,0.93994717494118,0.9709822556999141,0.9581749049429659
1,0.9039081661439239,0.9593213461489691,0.9333333333333332
2,0.9243875869098006,0.9680040889343215,0.9473684210526316
0,0.9305815168986468,0.9719933269298822,0.9516728624535316
1,0.9236932543872537,0.9638102000963709,0.9469696969696969
2,0.9034193157791388,0.9591745463838488,0.9328358208955224
0,0.9098061773966662,0.9632096456195338,0.9372693726937269
1,0.9729160759290553,0.989538687834445,0.9811320754716981
2,0.8910211682151613,0.9492972144134935,0.9242424242424243
