,Matthews,Accuracy,F1
0,0.871119432014762,0.9301987767584098,0.8983050847457628
1,0.7420073640744188,0.8664373088685016,0.7966101694915254
2,0.8918445196415781,0.9347542242703533,0.9137931034482758
0,0.7811895703919156,0.8974770642201835,0.8292682926829269
1,0.8597540991474807,0.9218654434250765,0.8888888888888888
2,0.8694676327480522,0.9180875576036867,0.8947368421052632
0,0.8299694189602447,0.9149847094801223,0.8666666666666667
1,0.8164391952759693,0.900611620795107,0.8547008547008548
2,0.8596195102934272,0.9218125960061444,0.8888888888888888
0,0.8050789642886405,0.9141437308868501,0.848
1,0.7993454551950236,0.9020642201834863,0.8429752066115703
2,0.824477247649542,0.8907834101382488,0.8571428571428571
0,0.826544495831076,0.9029051987767585,0.8620689655172413
1,0.858052042026746,0.9437308868501529,0.888888888888889
2,0.8020342250867547,0.8801459293394778,0.8392857142857143
0,0.8597540991474807,0.9218654434250765,0.8888888888888888
1,0.8065633980445904,0.8983180428134556,0.847457627118644
2,0.8167610669853627,0.9223502304147466,0.8571428571428572
0,0.7553045972974923,0.8905963302752293,0.8095238095238095
1,0.848345195056981,0.9135321100917431,0.8793103448275861
2,0.880675934746553,0.92642089093702,0.9043478260869566
0,0.8627276675578921,0.9339449541284404,0.8925619834710743
1,0.7915667445825793,0.8779051987767584,0.8318584070796461
2,0.8462358571922856,0.9352918586789554,0.8799999999999999
0,0.8368896887789525,0.9051987767584098,0.8695652173913043
1,0.7811815881086721,0.875611620795107,0.8245614035087719
2,0.8625897341235631,0.9338709677419355,0.8925619834710743
0,0.8724770642201835,0.9362385321100918,0.9
1,0.7993454551950236,0.9020642201834863,0.8429752066115703
2,0.8252235739125217,0.8968125960061444,0.8596491228070176
