,Matthews,Accuracy,F1
0,0.6856253083910361,0.8165995975855131,0.7679999999999999
1,0.6785714285714286,0.8392857142857143,0.7857142857142857
2,0.6236139383217216,0.8178571428571428,0.7534246575342466
0,0.7013513791171977,0.8582494969818913,0.8053691275167785
1,0.6833434069749785,0.8321428571428571,0.7819548872180451
2,0.6601109806437255,0.8178571428571428,0.7633587786259541
0,0.6698678872342445,0.8337525150905433,0.7801418439716311
1,0.6571428571428571,0.8285714285714285,0.7714285714285715
2,0.6071509510799272,0.7964285714285715,0.7313432835820896
0,0.6326634963451798,0.8194668008048289,0.7586206896551724
1,0.6548287910976218,0.825,0.7681159420289856
2,0.7491529994833256,0.8571428571428572,0.8217054263565892
0,0.5654885189364103,0.7738430583501006,0.7014925373134329
1,0.7411798404731325,0.8678571428571429,0.8260869565217392
2,0.6505057142190043,0.8285714285714285,0.7692307692307693
0,0.642893479232941,0.8127263581488934,0.7555555555555555
1,0.6597238113380302,0.8321428571428571,0.7746478873239437
2,0.6931810730249348,0.8321428571428571,0.7846153846153846
0,0.6762493266760722,0.8303822937625754,0.7794117647058824
1,0.7607674567748486,0.8714285714285714,0.8358208955223881
2,0.5193700906828294,0.7535714285714286,0.6716417910447762
0,0.7184239883073308,0.8411971830985916,0.8
1,0.6746192341692543,0.8428571428571429,0.7862068965517242
2,0.6156091167801035,0.7964285714285715,0.732824427480916
0,0.6877710523990472,0.8374245472837022,0.7883211678832117
1,0.6310315028394047,0.8107142857142857,0.75
2,0.6309714732061982,0.825,0.7599999999999999
0,0.615377157432704,0.8054828973843058,0.7428571428571428
1,0.6904308079580213,0.8464285714285715,0.7943262411347518
2,0.7,0.8500000000000001,0.8000000000000002
