,Matthews,Accuracy,F1
0,0.8016198312499231,0.8887061403508771,0.8496732026143791
1,0.7731378834915723,0.861784140969163,0.821917808219178
2,0.8431637442974366,0.9025818323760665,0.8783783783783783
0,0.8005404962328582,0.8724780701754385,0.8413793103448275
1,0.7739701811015952,0.8698788546255507,0.8266666666666667
2,0.8452755301890843,0.9190877153850443,0.8846153846153846
0,0.8017971744885666,0.8643640350877193,0.8368794326241135
1,0.8183385664564881,0.893034140969163,0.8609271523178808
2,0.810859415195024,0.9020242011933307,0.8589743589743589
0,0.8009470601538419,0.8846491228070176,0.8476821192052981
1,0.8003289393721443,0.8805341409691629,0.8456375838926175
2,0.8352743205369094,0.9086321307087493,0.8758169934640523
0,0.8005404962328582,0.8724780701754385,0.8413793103448275
1,0.7349895380959854,0.8629129955947137,0.8025477707006369
2,0.888115641445594,0.9218479897395861,0.91156462585034
0,0.8009470601538419,0.8846491228070176,0.8476821192052981
1,0.8183385664564881,0.893034140969163,0.8609271523178808
2,0.8255630884612266,0.8857971337757207,0.8611111111111112
0,0.857079554115966,0.9302631578947369,0.8944099378881988
1,0.7456930164114444,0.8430341409691631,0.7972027972027972
2,0.8163027174283392,0.8835944906039146,0.8551724137931035
0,0.7393512463513111,0.8711622807017544,0.8074534161490683
1,0.8270315579658627,0.8952367841409692,0.8666666666666666
2,0.8166462666082165,0.8794680198516701,0.8531468531468531
0,0.8182908399352908,0.8890350877192983,0.8590604026845639
1,0.8205831152887127,0.9051762114537445,0.8662420382165604
2,0.7895572398812688,0.876986561088496,0.8378378378378378
0,0.7742035422748988,0.8699561403508772,0.8266666666666667
1,0.7822273627639009,0.868034140969163,0.8299319727891157
2,0.878669264586775,0.9237718173200246,0.9066666666666667
