,Matthews,Accuracy,F1
0,0.6930871049779502,0.8535115303983228,0.7567567567567567
1,0.7541500649867847,0.8744514656836931,0.8037383177570094
2,0.777570874458424,0.8860803931893979,0.8224299065420562
0,0.8039053392420978,0.9046995108315863,0.8440366972477065
1,0.7517956285250061,0.8858609794628752,0.8035714285714286
2,0.6789943957501081,0.8440846059329472,0.7454545454545455
0,0.684140930685377,0.8511530398322851,0.75
1,0.7560184113727253,0.892750570475689,0.8070175438596491
2,0.6643536495747614,0.7982271370896963,0.7157894736842105
0,0.6192830036164574,0.8117575122292103,0.6972477064220184
1,0.8268147879037427,0.9162278392136212,0.8623853211009175
2,0.7131977123473002,0.8809022292434614,0.7731092436974791
0,0.7251603275016797,0.8674877707896576,0.7818181818181819
1,0.6180359843095431,0.8001579778830963,0.6923076923076923
2,0.7344137678533509,0.8697121291908021,0.7889908256880734
0,0.760738102994487,0.8998078266946191,0.8103448275862069
1,0.7594067117057882,0.8630419519045112,0.8039215686274509
2,0.6719733198055465,0.8531244514656837,0.7413793103448276
0,0.5905936729144623,0.7932389937106918,0.6728971962616822
1,0.7273514670226079,0.8559329471651747,0.780952380952381
2,0.7971102746205655,0.9091188344742847,0.8392857142857144
0,0.7294099574421705,0.8743885394828791,0.7857142857142857
1,0.7484609912917837,0.9017904160084255,0.7999999999999999
2,0.6976478848516763,0.8488239424258381,0.7592592592592593
0,0.6654385875228676,0.8349930118798043,0.7339449541284404
1,0.7209057398630858,0.8604528699315429,0.7777777777777778
2,0.8424249207161248,0.9323766894856942,0.875
0,0.7473568287701092,0.8905485674353599,0.7999999999999999
1,0.6927819491271244,0.8533438651922065,0.7567567567567567
2,0.7073084460435062,0.8511936106722837,0.7663551401869159
