,Matthews,Accuracy,F1
0,0.8031557826288717,0.9052295044530715,0.8764044943820224
1,0.815979273847379,0.9155172413793103,0.8852459016393444
2,0.8054357002067302,0.9136781609195401,0.8783068783068784
0,0.856330995971321,0.9388368729542513,0.9090909090909092
1,0.8319648570691545,0.922183908045977,0.8950276243093922
2,0.8027790893499334,0.9112643678160919,0.877005347593583
0,0.8209785628332161,0.9207201035243967,0.8877005347593583
1,0.8641565432931722,0.933103448275862,0.9142857142857144
2,0.8205039490644791,0.920344827586207,0.8877005347593583
0,0.8263777821364378,0.9215954936439066,0.8913043478260869
1,0.8259240127494899,0.9212643678160919,0.8913043478260869
2,0.8156781911771593,0.9194252873563218,0.8842105263157896
0,0.8059558562991588,0.9140975869681054,0.8783068783068784
1,0.8814083622609952,0.9509195402298851,0.9247311827956989
2,0.7694950362656269,0.8985057471264368,0.8542713567839196
0,0.8161712416270349,0.919844713404887,0.8842105263157896
1,0.8054357002067302,0.9136781609195401,0.8783068783068784
2,0.8303646513246256,0.9197701149425288,0.8938547486033519
0,0.8441333036809419,0.9306538783588338,0.9021739130434783
1,0.8694750104730578,0.9427586206896552,0.9180327868852458
2,0.7803154494302598,0.8973563218390805,0.8633879781420765
0,0.7831461496228616,0.9001674659359062,0.8648648648648648
1,0.8140707041400874,0.913103448275862,0.8839779005524862
2,0.7926608977967858,0.9055172413793103,0.8709677419354839
0,0.8570163282095061,0.9324046585978534,0.9101123595505618
1,0.8231154502251607,0.9227586206896552,0.888888888888889
2,0.8060640610203051,0.9097701149425288,0.879120879120879
0,0.8441333036809419,0.9306538783588338,0.9021739130434783
1,0.8205039490644791,0.920344827586207,0.8877005347593583
2,0.8206587101956981,0.9140229885057471,0.8876404494382023
