,Matthews,Accuracy,F1
0,0.43085260414916593,0.6907530454042082,0.5655172413793104
1,0.2474491948094652,0.5859010270774977,0.3418803418803419
2,0.16831733699117796,0.5691565515094926,0.3458646616541353
0,0.19220952971813096,0.5871170173495754,0.40268456375838924
1,0.24513408876322096,0.6121070650482415,0.4429530201342282
2,0.2405240644795466,0.5761904761904761,0.3063063063063063
0,0.24905434065327492,0.5713362864525655,0.28037383177570097
1,0.20538723144494778,0.5829754123871771,0.366412213740458
2,0.330805066703112,0.6521008403361345,0.5066666666666666
0,0.40066564573738334,0.6569459825273778,0.4961240310077519
1,0.18389568297091405,0.562962962962963,0.2931034482758621
2,0.17575047487173737,0.5812324929971989,0.3973509933774835
0,0.24536573469430342,0.6130183339485665,0.4473684210526315
1,0.27224336363206697,0.6271086212262683,0.47058823529411764
2,0.3345633975307043,0.6591658885776532,0.5222929936305731
0,0.2936314585367778,0.6283684016242156,0.46153846153846156
1,0.2755386880774658,0.6150326797385621,0.4296296296296296
2,0.2935470534468334,0.6312169312169312,0.46896551724137936
0,0.3097378735471994,0.6267995570321152,0.44776119402985076
1,0.30855200154793083,0.6403361344537815,0.4864864864864864
2,0.23500561245081728,0.6150638032990974,0.4634146341463415
0,0.2820971321036303,0.629937246216316,0.47368421052631576
1,0.2319074287084574,0.6023965141612201,0.41958041958041964
2,0.33967734586663695,0.650918145035792,0.5
0,0.25515607110936184,0.6077580903162298,0.4202898550724638
1,0.2512212996708031,0.6109243697478991,0.4335664335664336
2,0.24292714189120806,0.6006224712107064,0.40298507462686567
0,0.25959596486775566,0.6183093392395718,0.45333333333333325
1,0.2470662784643891,0.6076875194522253,0.425531914893617
2,0.27843366132313324,0.625925925925926,0.46258503401360546
