,Matthews,Accuracy,F1
0,0.33881535404227864,0.6600064918671331,0.537037037037037
1,0.39368517118934415,0.6871196754563895,0.5779816513761468
2,0.22487057193028087,0.6043249561659848,0.4497607655502393
0,0.3299965714177149,0.6577704042990586,0.5363636363636364
1,0.29183661317481685,0.640357867284845,0.5135135135135135
2,0.343021535115099,0.6597019286966687,0.5333333333333333
0,0.3287911409948971,0.6537490532693764,0.5258215962441314
1,0.23772403154625882,0.6167596348884381,0.4869565217391304
2,0.27241399820549084,0.611374926943308,0.42857142857142855
0,0.2613089219175083,0.6200454430699318,0.47115384615384615
1,0.305277086162142,0.6288394668212113,0.46560846560846564
2,0.3010829321954763,0.6425336060783168,0.5116279069767442
0,0.27617897247272527,0.6244274533847873,0.47290640394088673
1,0.287378379291098,0.6244204578383077,0.46391752577319584
2,0.37048208801772586,0.6724868497954413,0.5523809523809524
0,0.3142457600954893,0.6332816388357918,0.47368421052631576
1,0.21876119400776364,0.5908070124601565,0.3978494623655914
2,0.3351012444451244,0.6554646405610753,0.5263157894736842
0,0.38131110975533977,0.6770837090200887,0.5592417061611374
1,0.3136844937720658,0.6430563604752246,0.5048543689320388
2,0.2613977959002803,0.6273743424897721,0.49777777777777776
0,0.3221691425034497,0.6535687236267897,0.5296803652968036
1,0.30315040140602995,0.6427303680092726,0.5116279069767442
2,0.3650466532236765,0.6744228521332554,0.5596330275229358
0,0.36101533728010154,0.6745771269881343,0.5625
1,0.3535622051360747,0.6680491161982034,0.5504587155963303
2,0.2966281464986397,0.6220046756282875,0.4480874316939891
0,0.2747241732558613,0.6342554189057598,0.5087719298245614
1,0.35319861410186987,0.6640647638365691,0.5402843601895735
2,0.3522605464769546,0.6557568673290474,0.5177664974619289
