,Matthews,Accuracy,F1
0,0.3237630110054473,0.64745670995671,0.5208333333333334
1,0.17604036995258704,0.5814393939393939,0.42857142857142855
2,0.17778311957786544,0.5868686868686869,0.4571428571428572
0,0.2562497700315405,0.6276154401154401,0.5225225225225225
1,0.2799633151749414,0.6431277056277056,0.5546218487394958
2,0.17778311957786544,0.5868686868686869,0.4571428571428572
0,0.30517732960029964,0.6451118326118326,0.5294117647058824
1,0.30094859441297844,0.6412337662337663,0.52
2,0.28269377179453525,0.6282828282828282,0.48936170212765956
0,0.3022494958061168,0.6478174603174603,0.5420560747663551
1,0.3239899169690182,0.6660353535353536,0.5833333333333334
2,0.28728584889666076,0.6424242424242423,0.537037037037037
0,0.3231805510869416,0.6633297258297258,0.5739130434782609
1,0.28000680640927095,0.6179653679653679,0.45454545454545453
2,0.2721655269759087,0.6414141414141414,0.56
0,0.2666923877022581,0.6233766233766234,0.48979591836734687
1,0.2927514388115252,0.6400613275613276,0.5242718446601942
2,0.21821789023599236,0.6060606060606061,0.4807692307692308
0,0.3072390120810412,0.6516955266955267,0.5504587155963302
1,0.22818000723656606,0.6136363636363636,0.5045045045045045
2,0.3042903097250923,0.6414141414141414,0.5154639175257733
0,0.35631941087221836,0.6811868686868687,0.5982905982905983
1,0.1702973635869631,0.5775613275613276,0.41666666666666663
2,0.3996674781207828,0.705050505050505,0.6271186440677966
0,0.15306419877024763,0.5659271284271284,0.3777777777777777
1,0.15013314104474082,0.5771103896103896,0.4793388429752066
2,0.2817180849095055,0.6414141414141414,0.5405405405405406
0,0.23932425280394878,0.6186868686868687,0.509090909090909
1,0.3738972510383542,0.6742424242424243,0.5656565656565656
2,0.2562409021932904,0.6181818181818182,0.47916666666666663
