,Matthews,Accuracy,F1
0,0.31438420627493135,0.6477331943720688,0.5294117647058824
1,0.3634817758482832,0.674048983845753,0.5714285714285714
2,0.32933634730933253,0.6619298245614036,0.5636363636363636
0,0.1997189850210142,0.6009206183776272,0.4957264957264957
1,0.34332367335850084,0.6679694285217996,0.5688073394495413
2,0.37423686374852455,0.6529824561403509,0.5057471264367815
0,0.4112971185692804,0.6862080944936599,0.5773195876288659
1,0.32575589725535004,0.667274622199062,0.5853658536585366
2,0.3516295600474777,0.6618421052631579,0.5454545454545454
0,0.4312298363003679,0.712958137919055,0.6306306306306307
1,0.25567646882977196,0.6137745353482716,0.4631578947368421
2,0.28932979608243364,0.6457017543859649,0.5517241379310345
0,0.3152755139010845,0.6542470036477332,0.5504587155963302
1,0.3105569449188187,0.6439117595970123,0.52
2,0.2577019477946102,0.6167543859649123,0.4742268041237113
0,0.1811446702240534,0.5894563140524578,0.46846846846846846
1,0.341323606044815,0.6706618030224075,0.5789473684210527
2,0.3692610252582276,0.6807017543859649,0.5871559633027522
0,0.2872273544436682,0.6405245787736669,0.5321100917431193
1,0.3401694960939384,0.6576341844710787,0.5399999999999999
2,0.29014682029109506,0.6482456140350876,0.5619834710743801
0,0.3106367923687394,0.6504255688726768,0.5420560747663552
1,0.40589729899607113,0.7057495223206531,0.6271186440677966
2,0.395455842116104,0.6806140350877192,0.5714285714285715
0,0.1789158802118361,0.5748653812749696,0.3820224719101123
1,0.42195620456965105,0.7145214521452146,0.6386554621848739
2,0.16022738968871575,0.5767543859649122,0.4380952380952381
0,0.34786811427492975,0.671790863296856,0.5765765765765766
1,0.2810457129042075,0.6393955184992184,0.5357142857142857
2,0.296520266898103,0.6443859649122807,0.5370370370370371
