value,transcription,alt_transcription,IPA,Comment
b,Phonemic,NA,,
i,Phonemic,NA,,
k,Phonemic,NA,,
g,Phonemic,NA,,
s,Phonemic,NA,,
a,Phonemic,NA,,
n,Phonemic,NA,,
r,Phonemic,NA,,
š,Phonemic,NA,,
ɨ,Phonemic,NA,,
o,Phonemic,NA,,
ḳ,Phonemic,NA,,
d,Phonemic,NA,,
ã,Phonemic,NA,,
y,Phonemic,NA,,
ũ,Phonemic,NA,,
u,Phonemic,NA,,
h,Phonemic,NA,,
 ,Phonemic,NA,,
ĩ,Phonemic,NA,,
t,Phonemic,NA,,
-,Phonemic,NA,,
(,Phonemic,NA,,
?,Phonemic,NA,,
),Phonemic,NA,,
w,Phonemic,NA,,
e,Phonemic,NA,,
ā,Phonemic,NA,,
ī,Phonemic,NA,,
m,Phonemic,NA,,
ū,Phonemic,NA,,
õ,Phonemic,NA,,
l,Phonemic,NA,,
č,Phonemic,NA,,
ē,Phonemic,NA,,
ō,Phonemic,NA,,
ɲ,Phonemic,NA,,
ɨ̃,Phonemic,NA,,
',Phonemic,NA,,
ʔ,Phonemic,NA,,
ḍ,Phonemic,NA,,
ẽ,Phonemic,NA,,
ā́,Phonemic,NA,,
j,Phonemic,NA,,
