value,transcription,alt_transcription,IPA,Comment
w,Phonemic,NA,,
-,Phonemic,NA,,
ə,Phonemic,NA,,
ʔ,Phonemic,NA,,
k,Phonemic,NA,,
a,Phonemic,NA,,
n,Phonemic,NA,,
h,Phonemic,NA,,
t,Phonemic,NA,,
d,Phonemic,NA,,
ɨ,Phonemic,NA,,
e,Phonemic,NA,,
m,Phonemic,NA,,
i,Phonemic,NA,,
č,Phonemic,NA,,
y,Phonemic,NA,,
u,Phonemic,NA,,
o,Phonemic,NA,,
ā,Phonemic,NA,,
š,Phonemic,NA,,
ɨ̄,Phonemic,NA,,
ē,Phonemic,NA,,
ī,Phonemic,NA,,
ū,Phonemic,NA,,
 ,Phonemic,NA,,
ɲ,Phonemic,NA,,
[,Phonemic,NA,,
],Phonemic,NA,,
ə̄,Phonemic,NA,,
#,Phonemic,NA,,
N,Phonemic,NA,,
A,Phonemic,NA,,
M,Phonemic,NA,,
E,Phonemic,NA,,
?,Phonemic,NA,,
ō,Phonemic,NA,,
s,Phonemic,NA,,
