value,transcription,alt_transcription,IPA,Comment
d,phonetic,NA,,
ɨ,phonetic,NA,,
ŋ,phonetic,NA,,
.,phonetic,NA,,
3,phonetic,NA,,
1,phonetic,NA,,
h,phonetic,NA,,
ɔ,phonetic,NA,,
t,phonetic,NA,,
i,phonetic,NA,,
 ,phonetic,NA,,
a,phonetic,NA,,
u,phonetic,NA,,
5,phonetic,NA,,
v,phonetic,NA,,
ɛ,phonetic,NA,,
k,phonetic,NA,,
ɣ,phonetic,NA,,
p,phonetic,NA,,
n,phonetic,NA,,
ə,phonetic,NA,,
m,phonetic,NA,,
e,phonetic,NA,,
ʔ,phonetic,NA,,
l,phonetic,NA,,
ć,phonetic,NA,,
s,phonetic,NA,,
:,phonetic,NA,,
ç,phonetic,NA,,
o,phonetic,NA,,
f,phonetic,NA,,
b,phonetic,NA,,
j,phonetic,NA,,
ń,phonetic,NA,,
